,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPIold,JPI,PERC,tput
73,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,459,446.3390197753906,44500.0,99.6999969482422,93.0,88.83689538807648,3,25,104,4.440211640211641,839.2,453.759801319861,45312.0,3,461.7820105820106,442.6890869786501,9.978003685868856e-05,0.01037712383330361,10,446.33903071332617
200,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,397,384.8522644042969,44243.0,114.96099853515624,109.0,80.03756250989976,2,25,119,4.151851851851852,896.8,393.72979736540265,45312.0,2,494.07037037037037,477.3010346589264,9.38420055568531e-05,0.01116719866126552,90,384.8522591465665
102,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,91,89.72015380859375,10750.0,119.81700134277344,351.0,89.11214953271028,3,25,124,3.525777777777778,793.3000000000001,89.84700509983,10782.0,3,437.19644444444447,422.44812073432075,0.0003279793281653747,0.040669436692506465,50,89.72015556662376
161,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,79,74.88021850585938,8986.0,120.00499725341795,389.0,80.01342882721576,2,25,124,3.492,785.7,74.87707679892176,9000.0,2,433.008,419.0574504089355,0.00038860449588248386,0.048186957489427994,10,74.88021503824552
172,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,230,229.0235290527344,27500.0,120.0749969482422,213.0,87.74134790528232,3,25,124,5.526666666666666,1243.5,229.50573889286844,27554.0,3,685.3066666666666,663.6144831339519,0.00020096969696969697,0.02492024242424242,90,229.02353278304687
115,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,139,134.776123046875,16173.0,119.9990005493164,346.0,76.22030639459157,2,25,125,4.844493392070485,1099.7000000000003,134.74692772339097,16173.0,2,605.5616740088107,581.3343652162258,0.00029954203871084434,0.03744275483885554,50,134.7761225173982
163,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,127,124.76007843017578,14950.0,119.83000183105467,316.0,80.9530201342282,3,25,124,4.748888888888889,1068.5,124.777109337244,14975.0,3,588.8622222222222,569.0593642510307,0.00031765143069490895,0.03938877740616871,10,124.76007486904349
4,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,77,74.8808364868164,8986.0,120.00399780273438,541.0,76.86884512085945,2,25,124,3.8659090909090907,850.5,74.88081470326397,9000.0,2,479.3727272727273,463.92454605102535,0.0004302146773769298,0.05334661999473929,90,74.88083867648656
151,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,25,24.968374252319336,3000.0,120.1520004272461,1192.0,79.62711864406779,3,25,124,3.3853333333333335,761.7,24.968996828937403,3000.0,3,419.78133333333335,406.7545721130371,0.0011284444444444445,0.1399271111111111,50,24.96837330491677
65,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,15,14.979901313781738,1800.0,120.16100311279295,1980.0,69.48571428571428,2,25,125,3.283259911894273,745.3,14.982894528746348,1800.0,2,410.40748898678413,394.51980449323605,0.0018240332843857073,0.2280041605482134,10,14.979901576806684
109,StreamingRandomPatches,covtypeNorm,1,1,61,59.67400741577149,7161.0,120.0019989013672,4127.0,82.15333054042732,1,25,124,3.8995555555555548,877.3999999999999,59.910134797803295,7200.0,1,483.5448888888888,467.95446149359805,0.000544554609070738,0.06752477152477152,90,59.67400597956551
114,StreamingRandomPatches,covtypeNorm,1,1,34,29.96092414855957,3596.0,120.02300262451172,777.0,81.39599555061179,1,25,124,3.5479999999999996,798.3,29.962048072441572,3600.0,1,439.95199999999994,425.8416133117675,0.0009866518353726361,0.12234482758620688,50,29.960923501055674
162,StreamingRandomPatches,covtypeNorm,1,1,6,5.000958442687988,600.0,119.97699737548828,150.0,77.0,1,25,125,3.1876651982378856,723.6,4.994755506717946,600.0,1,398.4581497797357,382.44649912292215,0.005312775330396476,0.6640969162995596,10,5.00095862644569
143,OzaBagExecutorMAXChunk,covtypeNorm,4,50,2407,2357.107177734375,282900.0,120.0199966430664,18.0,78.61339932826587,3,25,125,4.3370044052863435,984.5,2398.8926356105076,288119.0,3,542.1255506607929,520.5272541634312,1.5330521050853106e-05,0.001916315131356638,90,2357.107214736314
120,OzaBagExecutorMAXChunk,covtypeNorm,4,50,1337,1320.024658203125,158300.0,119.9219970703125,28.0,80.42654028436019,3,25,125,3.9423423423423425,875.2,1330.5389121757319,159666.0,3,492.7927927927928,472.7735668285473,2.490424726684992e-05,0.00311303090835624,50,1320.0247149585557
158,OzaBagExecutorMAXChunk,covtypeNorm,4,50,271,269.69610595703125,32346.0,119.93499755859376,157.0,71.67141441664603,2,25,125,3.864601769911504,873.3999999999999,269.4085605057345,32346.0,2,483.07522123893796,463.5010038392734,0.00011947696067246349,0.014934620084057935,10,269.69609086953534
9,OzaBagExecutorMAXChunk,covtypeNorm,4,50,267,264.2701721191406,31700.0,119.9530029296875,111.0,71.44075829383885,3,25,126,3.3519650655021835,767.6,264.399693517223,31747.0,3,422.3475982532751,402.07827532239355,0.00010574022288650422,0.013323268083699531,90,264.27016602978665
166,OzaBagExecutorMAXChunk,covtypeNorm,4,50,150,149.57211303710938,17950.0,120.00900268554688,243.0,65.07262569832403,2,25,126,3.3179039301310045,759.8000000000001,149.71880858154552,17970.0,2,418.0558951965066,398.17834166147827,0.0001848414445755434,0.02329002201651847,50,149.57211207756987
131,OzaBagExecutorMAXChunk,covtypeNorm,4,50,30,29.952075958251957,3600.0,120.19200134277344,987.0,62.7887323943662,2,25,126,3.2096069868995634,735.0,29.96105063417557,3600.0,2,404.410480349345,385.7690872792073,0.0008915574963609898,0.11233624454148472,10,29.952076342694586
156,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,896,877.5877685546875,105300.0,119.98799896240234,52.0,87.6646080760095,3,25,126,4.773684210526316,1088.4,891.5189019464133,107042.0,3,601.4842105263158,572.784816099468,4.53341330534313e-05,0.005712100764732344,90,877.5877663648282
74,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,498,484.1021118164063,58100.0,120.01599884033205,79.0,87.17829457364341,3,25,126,4.249344978165938,973.0999999999999,493.52519183075617,59301.0,3,535.4174672489082,509.989381971734,7.313846778254626e-05,0.00921544694060083,50,484.10212439506165
118,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,287,284.61749267578125,34143.0,119.96099853515624,146.0,76.18866042882703,2,25,126,3.9235807860262,898.4999999999998,284.3330751742574,34143.0,2,494.3711790393012,470.6766689250561,0.00011491611123879565,0.014479430016088252,10,284.61750416318785
48,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,159,154.85780334472656,18569.0,119.91000366210938,266.0,70.55456558129488,2,25,126,3.796491228070176,865.6000000000001,154.71201353073994,18569.0,2,478.3578947368422,455.2372770610609,0.00020445318692822317,0.02576110155295612,90,154.85780529475255
173,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,99,94.72779083251952,11350.0,119.81700134277344,341.0,76.19469026548673,3,25,125,3.5596330275229358,776.0,94.83850538315389,11381.0,3,444.95412844036696,426.50455523849627,0.00031362405528836436,0.03920300691104555,50,94.7277921563888
12,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,31,29.961299896240234,3600.0,120.15499877929688,973.0,65.63380281690141,2,25,126,3.23859649122807,738.4,29.962048072441572,3600.0,2,408.06315789473683,389.1335574501439,0.0008996101364522417,0.11335087719298245,10,29.961300291905065
52,OzaBagAdwin,covtypeNorm,1,1,243,165.60694885253906,19873.0,120.0009994506836,12300.0,74.83017158959392,1,25,126,3.827631578947368,872.6999999999999,239.496218305401,28752.0,1,482.28157894736836,459.31961500268227,0.00019260461827340453,0.02426818190244897,90,165.60695403347154
72,OzaBagAdwin,covtypeNorm,1,1,135,134.83230590820312,16173.0,119.9489974975586,707.0,71.58844988561182,1,25,126,3.7497816593886464,858.7,134.74580507556698,16173.0,1,472.47248908296945,449.78255087839983,0.00023185442771215276,0.029213657891731245,50,134.83230654202993
159,OzaBagAdwin,covtypeNorm,1,1,27,24.99791717529297,3000.0,120.01000213623048,103.0,65.96666666666667,1,25,126,3.2144104803493447,736.0999999999999,24.969412469724585,3000.0,1,405.0157205240174,385.7614086134465,0.0010714701601164482,0.13500524017467247,10,24.99791639528947
195,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,2437,2393.68798828125,287300.0,120.02400207519533,18.0,76.88494342906876,3,25,126,4.453070175438596,1015.3,2428.998467892353,291713.0,3,561.0868421052631,534.4753039778325,1.5499722156068904e-05,0.001952964991664682,90,2393.6878876943783
147,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,1354,1335.0850830078125,160050.0,119.87999725341795,28.0,78.91812499999999,3,25,126,3.8798245614035087,884.6,1345.2982052692096,161460.0,3,488.8578947368421,465.11335776479615,2.4241328093742635e-05,0.003054407339811572,50,1335.0851156733468
30,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,272,269.6601257324219,32346.0,119.95099639892578,156.0,71.81694327470895,2,25,126,3.9154545454545455,861.4,269.3950978187542,32346.0,2,493.34727272727275,469.66267408197575,0.00012104911103241655,0.015252187990084485,10,269.66011930760146
165,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,270,269.3507385253906,32300.0,119.91799926757812,108.0,70.54263565891473,3,25,125,3.3482300884955754,756.7,269.37939305106767,32346.0,3,418.5287610619469,401.51305329989543,0.00010366037425682896,0.01295754678210362,90,269.35072463915645
144,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,151,149.76498413085938,17970.0,119.98799896240234,254.0,64.9609375,2,25,126,3.808296943231441,872.0999999999999,149.72379833529132,17970.0,2,479.8454148471615,456.9499296729741,0.000211925261170364,0.026702582907465862,50,149.7649777927442
14,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,30,29.949085235595703,3600.0,120.2040023803711,987.0,63.014084507042256,2,25,126,3.1375545851528384,718.5,29.962048072441572,3600.0,2,395.33187772925766,377.146618822256,0.0008715429403202329,0.10981441048034934,10,29.949085959785545
10,OzaBagASHT,covtypeNorm,1,1,219,185.71511840820312,22286.0,120.0009994506836,6062.0,71.1253701875617,1,25,126,3.816157205240174,873.8999999999999,214.57193078916018,25757.0,1,480.8358078602619,457.9426786897484,0.0001712356279834952,0.021575689125920394,90,185.71511989080392
60,OzaBagASHT,covtypeNorm,1,1,122,119.86892700195312,14376.0,119.93099975585938,292.0,64.69115191986644,1,25,126,3.6152838427947596,827.9,119.78901933989384,14376.0,1,455.5257641921397,433.58460566758066,0.0002514805121587896,0.03168654453200749,50,119.86892487567746
