dataset,algorithm,batch_size,JPI_normalized,delay_normalized
covtypeNorm,StreamingRandomPatches,500,0.01360737923066315,0.003458329144465668
covtypeNorm,StreamingRandomPatches,500,0.020777091110260448,0.005604704936161657
covtypeNorm,StreamingRandomPatches,500,0.08204513655492636,0.021430246975637546
covtypeNorm,OzaBagAdwin,500,0.0027109314892472657,0.0007523206326865722
covtypeNorm,OzaBagAdwin,500,0.004342334486046758,0.0012181227170671223
covtypeNorm,OzaBagAdwin,500,0.018611497451039363,0.004890921885995778
covtypeNorm,OzaBagASHT,500,0.0009174995937525415,0.0002479809657853289
covtypeNorm,OzaBagASHT,500,0.0014375089876463814,0.00038537582520693005
covtypeNorm,OzaBagASHT,500,0.00598877007558477,0.0015800408833484133
covtypeNorm,OzaBag,500,0.0009021943211255476,0.00023960323045474347
covtypeNorm,OzaBag,500,0.0013427299933565415,0.00036191816628129085
covtypeNorm,OzaBag,500,0.005542196638969961,0.0014309171944639925
airlines,AdaptiveRandomForest,2000,0.04142833184607153,0.04314701249958111
airlines,AdaptiveRandomForest,2000,0.032311396243751955,0.03256760832411783
airlines,AdaptiveRandomForest,2000,0.12345213190357582,0.07954994805804096
airlines,LBag,2000,0.8074377272495026,0.8574310512382293
airlines,LBag,2000,1.0,1.0
airlines,LBag,2000,0.0731785862558168,0.07668811366911296
airlines,StreamingRandomPatches,2000,0.04590339016260365,0.047495057136154956
airlines,StreamingRandomPatches,2000,0.044618154602279865,0.04601387352970745
airlines,StreamingRandomPatches,2000,0.12234319486612348,0.08078817733990148
airlines,OzaBagAdwin,2000,0.015535376252952269,0.015781977815756843
airlines,OzaBagAdwin,2000,0.014523222326958072,0.014632552528400523
airlines,OzaBagAdwin,2000,0.02564046157671811,0.024271974799772125
airlines,OzaBagASHT,2000,0.001882523372918734,0.0019637411614892263
airlines,OzaBagASHT,2000,0.0018190785783484243,0.0018682349787205522
airlines,OzaBagASHT,2000,0.004690178996983016,0.004951241580375992
airlines,OzaBag,2000,0.0013134956637361292,0.0013789752354143629
airlines,OzaBag,2000,0.0012964997883914702,0.0013672464059515431
airlines,OzaBag,2000,0.0037168783205750134,0.004063201635333936
GMSC,AdaptiveRandomForest,2000,0.0019223192860088152,0.0020592473442579
GMSC,AdaptiveRandomForest,2000,0.0028866208954446875,0.0032723434201266713
GMSC,AdaptiveRandomForest,2000,0.011379853789293745,0.011398746690794544
GMSC,LBag,2000,0.001728230549824921,0.0017174357427700143
