,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
26,26,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,700,675.5103149414062,43819.0,64.86799621582031,69.0,80.27142498115104,69,5.453968253968253,687.1999999999999,697.1613201015463,45312.0,353.7879920596168,0.008073849062270174,0
177,177,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,389,380.147705078125,44835.0,117.94100189208984,103.0,80.4443452048677,122,4.621171171171171,1025.8999999999999,383.6845982539777,45312.0,545.0255578427701,0.012156251987125463,0
73,73,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,77,74.8808364868164,8986.0,120.00399780273438,389.0,80.28200537153089,125,4.009734513274337,906.2,74.88019169329074,9000.0,481.1841717205217,0.053548205176999965,0
64,64,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,144,114.59722900390624,14000.0,122.16699981689452,15726.0,45.958333333333336,126,5.192576419213974,1189.1,139.7608432981959,16772.0,634.3614824553243,0.045311534461094594,0
41,41,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,80,79.86967468261719,9585.0,120.00800323486328,20521.0,46.80290046143705,132,4.543514644351463,1085.8999999999996,79.86888191884988,9600.0,545.2581201369791,0.056886606169742206,0
35,35,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,16,15.006253242492676,1800.0,119.9499969482422,77163.0,0.0,141,3.7858823529411763,965.4,14.982769814713079,1800.0,454.1165766816981,0.2522869870453878,0
191,191,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,146,144.96853637695312,17371.0,119.82599639892578,3311.0,62.80007112797108,125,5.405309734513275,1221.6000000000001,144.74024080323292,17371.0,647.6966247828661,0.03728608743209177,0
8,8,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,81,78.53771209716797,9500.0,120.96099853515624,5210.0,57.61111111111112,125,4.618859649122807,1053.1,79.86755297465038,9600.0,558.701875251636,0.05881072371069853,0
11,11,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,16,15.006128311157228,1800.0,119.95099639892578,19197.0,49.38461538461538,126,3.739912280701754,852.6999999999999,14.982645102755974,1800.0,448.60620451475444,0.24922566917486358,0
135,135,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,147,144.7679901123047,17371.0,119.99199676513672,325.0,77.12603198429652,124,5.367555555555556,1207.7,144.72697582190526,17371.0,644.0637088589139,0.03707695059921213,0
152,152,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,81,79.86901092529297,9585.0,120.00900268554688,508.0,77.35710540115365,124,4.3773333333333335,984.9000000000001,79.86688851913478,9600.0,525.3194077555339,0.054806406651594565,0
138,138,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,16,14.975042343139648,1800.0,120.1999969482422,1984.0,69.48571428571428,125,3.8362831858407076,866.9999999999999,14.98301924485583,1800.0,461.1212272306459,0.25617845957258106,0
185,185,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,658,646.8720092773438,77613.0,119.98200225830078,3004.0,78.22199886262943,127,4.769565217391304,1097.0,653.0376165113182,78469.0,572.2619846841563,0.007373274898330903,0
122,122,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,365,359.27947998046875,43083.0,119.91500091552734,5113.0,70.93444977241194,127,4.442608695652174,1021.8,364.0821967993872,43727.0,532.7354258064602,0.012365327990308478,0
