,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,delay_normalized,JPI_normalized,PERC,tput
369,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,252,233.61170959472656,28000.0,119.85700225830078,4560.0,84.61153846153846,25,126,3.242358078602619,742.4999999999998,249.4835399173664,29950.0,408.53711790393,388.6193195492939,0.00011579850280723639,0.014590611353711785,0.007640494621493917,0.007847761971010253,10,233.61171623213062
48,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2515,2101.65380859375,38000.0,18.08099937438965,231.0,84.18133333333333,25,24,4.997777777777777,224.89999999999998,2480.402890299978,45312.0,119.94666666666666,90.36481687333848,0.0001315204678362573,0.003156491228070175,0.00038705137227304715,0.0016977624323585895,90,2101.6537423160407
53,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1397,1338.5850830078125,43500.0,32.49700164794922,307.0,84.50232558139534,25,38,4.363380281690141,309.8,1386.3240018357044,45312.0,165.80845070422535,141.79677620471364,0.00010030759268253197,0.003811688521936215,0.0005143929492979458,0.002050169352237425,50,1338.5850322823596
56,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,279,271.1293029785156,32500.0,119.86900329589844,1080.0,82.609375,25,126,3.401754385964913,775.6000000000001,274.40446443444944,32945.0,428.621052631579,407.7649077030651,0.00010466936572199732,0.013188340080971661,0.0018095908314064541,0.0070935309864086004,10,271.12930871522525
140,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,2594,2280.76171875,40000.0,17.538000106811523,105.0,84.28176100628932,25,22,5.080952380952381,213.39999999999998,2564.9269783765426,45312.0,111.78095238095237,89.10974339984712,0.0001270238095238095,0.0027945238095238092,0.00017593244194229416,0.001503073253601849,90,2280.761760542158
269,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,1441,1428.934326171875,45000.0,31.492000579833984,138.0,84.55642458100559,25,37,4.5852941176470585,311.79999999999995,1430.1224592854437,45312.0,169.65588235294118,144.40008501165053,0.0001018954248366013,0.0037701307189542486,0.00023122549512415803,0.0020278169135400812,50,1428.934306219209
146,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,288,283.6264038085937,34000.0,119.8759994506836,533.0,83.59703703703704,25,126,3.6663755458515284,839.6,284.37570275605304,34143.0,461.96331877729256,439.5104329204976,0.00010783457487798613,0.013587156434626251,0.0008930665862404075,0.007308039874196311,10,283.6264152607748
359,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2453,2243.192138671875,41600.0,18.545000076293945,43.0,84.20722891566264,25,23,6.411627906976744,275.7,2426.735218508997,45312.0,147.4674418604651,118.9036400240521,0.0001541256708407871,0.0035448904293381035,7.204852384303474e-05,0.0019066683107614017,90,2243.192225875331
216,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,1363,1358.280029296875,45300.0,33.35100173950195,62.0,84.32522123893806,25,39,5.343055555555556,384.70000000000005,1352.4758976808048,45312.0,208.3791666666667,178.19625512758893,0.00011794824625950454,0.0045999816041206775,0.00010388391809925941,0.0024741636813581103,50,1358.2800406965073
323,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,272,269.355224609375,32300.0,119.91600036621094,219.0,84.472049689441,25,125,4.57136563876652,1037.7,269.43100130775576,32346.0,571.420704845815,548.1798836124101,0.00014152834794942785,0.01769104349367848,0.0003669448074796421,0.009515372248049039,10,269.35521449480615
102,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2270,1666.6009521484375,42300.0,25.381000518798828,29.0,83.62130177514793,25,31,5.89298245614035,335.9,2258.0355808043055,45312.0,182.68245614035087,149.5697907765706,0.00013931400605532744,0.00431873418771515,4.859086491739553e-05,0.002322890871370564,90,1666.600966682533
98,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1261,1206.255859375,43500.0,36.0620002746582,36.0,84.22094361334868,25,42,5.660256410256411,441.5,1253.3746404071696,45312.0,237.73076923076925,204.12016822130252,0.00013012083701738876,0.005465075154730327,6.031969438021514e-05,0.0029394662038678024,50,1206.255883442181
244,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,252,249.83941650390625,29950.0,119.8769989013672,32.0,85.40468227424749,25,125,4.607929515418502,1046.0,249.4814617364576,29950.0,575.9911894273127,552.3847614574013,0.0001538540739705677,0.01923175924632096,5.361750611574679e-05,0.010344067509584338,10,249.83942102723444
144,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1928,1863.0904541015625,43900.0,23.5629997253418,13.0,84.1937321937322,25,29,6.148148148148146,331.9999999999999,1914.3219264892268,45312.0,178.29629629629625,144.86881312617547,0.00014004893275963885,0.0040614190500295275,2.1782111859522132e-05,0.0021844903682565675,90,1863.09046011599
273,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1071,1067.8673095703125,45300.0,42.42100143432617,18.0,84.63390392048592,25,47,5.472413793103448,476.09999999999997,1064.4615673745536,45312.0,257.20344827586206,232.1452733664677,0.00012080383649234985,0.005677780315140443,3.015984719010757e-05,0.00305387261415708,50,1067.867293753801
315,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,214,209.8036193847656,25150.0,119.8740005493164,70.0,86.4318407960199,25,126,4.568859649122809,1041.7000000000003,209.59410823780325,25158.0,575.6763157894738,547.6874840886971,0.0001816643995675073,0.022889714345505918,0.0001172882946281961,0.012311549215670896,10,209.80362618041798
173,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,3782,3011.040283203125,36000.0,11.956000328063965,615.0,73.15882352941176,25,17,4.724242424242424,155.89999999999998,3765.331560578361,45312.0,80.3121212121212,56.48304397409612,0.0001312289562289562,0.0022308922558922557,0.0010304614456620087,0.0011999162326230208,90,3011.0403991457133
287,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,2101,2046.7021484375,44000.0,21.49799919128418,792.0,78.4952380952381,25,27,4.684,234.20000000000002,2090.5190311418683,45312.0,126.468,100.6966282119751,0.00010645454545454546,0.0028742727272727275,0.001327033276364733,0.0015459673112096523,50,2046.7020957856714
403,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,420,407.0982971191406,44000.0,108.08200073242188,2664.0,76.25952380952381,25,114,3.2028985507246372,662.9999999999999,418.5170133372742,45312.0,365.13043478260863,346.1756835052932,7.27931488801054e-05,0.008298418972332014,0.00446365738413592,0.004463419335339222,10,407.09831148417214
363,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,4241,2974.167236328125,35000.0,11.767999649047852,165.0,77.67826086956522,25,17,4.771875,152.7,4183.161004431315,45312.0,81.12187499999999,56.15542332530021,0.0001363392857142857,0.0023177678571428568,0.0002764652659093194,0.0012466434754489135,90,2974.1673218720607
76,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2356,2333.540771484375,45000.0,19.28400039672852,166.0,77.59775280898876,25,25,4.234782608695651,194.79999999999995,2327.0336894001643,45312.0,105.86956521739128,81.66354950614597,9.410628019323669e-05,0.0023526570048309175,0.0002781408129754365,0.001265409085730053,50,2333.5407111708073
209,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,471,465.5589904785156,45000.0,96.65799713134766,624.0,77.32584269662921,25,101,3.38804347826087,623.4000000000001,467.8720042954351,45312.0,342.1923913043479,327.4814968026203,7.528985507246378e-05,0.007604275362318842,0.0010455413692570625,0.004090064601050085,10,465.55899496706843
297,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,4188,3373.473388671875,39500.0,11.708999633789062,73.0,76.43312101910828,25,16,4.996666666666666,149.89999999999998,4106.207521522429,45312.0,79.94666666666666,58.50596817016601,0.00012649789029535864,0.0020239662447257382,0.00012231493582654738,0.0010886182176270745,90,3373.473502041412
399,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,2326,2217.8349609375,43250.0,19.500999450683597,92.0,75.53488372093024,25,25,4.557446808510638,214.2,2303.843807199512,45312.0,113.93617021276594,88.87476770928566,0.00010537449268232689,0.002634362317058172,0.00015415033008277202,0.0014169281813138177,50,2217.835045294763
379,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,465,463.3232116699219,45250.0,97.66400146484376,307.0,76.00888888888889,25,102,3.470810810810811,642.1,463.0572076767429,45312.0,354.02270270270276,338.9732721112226,7.670300134388533e-05,0.007823706137076305,0.0005143929492979458,0.004208088475969682,10,463.3232237191172
383,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,3819,3586.46240234375,42600.0,11.878000259399414,27.0,77.62823529411764,25,18,5.979411764705881,203.29999999999995,3765.331560578361,45312.0,107.62941176470585,71.02345449223236,0.00014036177851422255,0.002526512013256006,4.5239770785161356e-05,0.001358919404832685,90,3586.4622890784462
278,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,2121,2061.56591796875,44000.0,21.343000411987305,41.0,76.66059225512528,25,27,5.383999999999999,269.19999999999993,2109.9883585564608,45312.0,145.36799999999997,114.91071421813962,0.00012236363636363633,0.003303818181818181,6.869742971080058e-05,0.0017770042706133147,50,2061.5658131781406
154,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,424,419.0835571289063,45300.0,108.09300231933594,129.0,76.72566371681417,25,113,4.49219512195122,920.9000000000001,418.51314780777506,45312.0,507.6180487804879,485.57485773598285,9.916545523071127e-05,0.011205696441070374,0.00021614557152910426,0.006027138702899216,10,419.0835579362627
303,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,3727,2361.46484375,38950.0,16.493999481201172,21.0,75.22622107969151,25,22,5.760975609756097,236.2,3703.473641193298,45312.0,126.74146341463414,95.02152871852968,0.00014790694761889853,0.0032539528476157676,3.518648838845883e-05,0.001750183511432044,90,2361.464849346744
143,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2070,2029.309814453125,44450.0,21.90399932861328,21.0,76.33333333333333,25,28,5.4923076923076914,285.59999999999997,2052.824717981244,45312.0,153.78461538461536,120.30350400484524,0.00012356147789218652,0.003459721380981223,3.518648838845883e-05,0.0018608589609953807,50,2029.3097773215684
408,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,414,409.2547607421875,45300.0,110.68900299072266,67.0,76.57237569060773,25,115,4.482296650717704,936.8,408.6801233833,45312.0,515.4641148325359,496.14094737659804,9.894694593195814e-05,0.011378898782175184,0.00011226165342984485,0.006120297975863229,10,409.2547477710753
261,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,3533,3062.784423828125,43075.0,14.064000129699709,8.0,77.16608594657374,25,20,6.076315789473685,230.90000000000003,3474.8466257668715,45312.0,121.5263157894737,85.45730605125429,0.0001410636283104744,0.0028212725662094883,1.3404376528936698e-05,0.0015174604420753652,90,3062.784385861615
155,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1963,1959.342529296875,45300.0,23.1200008392334,10.0,77.49751518498067,25,29,5.2296296296296285,282.3999999999999,1947.1445146319452,45312.0,151.65925925925922,120.90904142591685,0.00011544436268498076,0.003347886517864442,1.6755470661170873e-05,0.00180070703421695,50,1959.3424894314162
