,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,rate,90
124,elecNormNew,ARFMB+,150,8,50,36.15299987792969,80.48694268923158,1244.7099867768134,1120.238988099132
125,elecNormNew,ARFMB+,150,8,500,25.082000732421875,78.21788806569668,1794.1152494199325,1614.7037244779392
126,elecNormNew,ARFRUNPER,100,8,1,62.94300079345703,89.13532838983049,714.9325490162805,643.4392941146525
127,elecNormNew,ARFRUNPER,150,8,1,87.49500274658203,88.88815324858757,514.315087575192,462.88357881767286
128,elecNormNew,ARFSequential,100,1,1,83.37899780273438,89.04925847457628,539.704256298032,485.7338306682288
129,elecNormNew,ARFSequential,150,1,1,123.08599853515624,88.97201624293785,365.5980414957348,329.0382373461613
130,elecNormNew,LBagMB+,100,8,2000,11.920999526977539,75.27475064647211,3774.851252880583,3397.366127592525
131,elecNormNew,LBagMB+,100,8,50,18.27199935913086,80.80288100393265,2462.784674820638,2216.5062073385743
132,elecNormNew,LBagMB+,100,8,500,12.505999565124512,77.70463268767294,3598.272954166057,3238.4456587494515
133,elecNormNew,LBagMB+,150,8,2000,16.982000350952152,75.17085334318435,2649.864507715484,2384.8780569439355
134,elecNormNew,LBagMB+,150,8,50,27.336000442504886,80.51124563651628,1646.180833756107,1481.5627503804963
135,elecNormNew,LBagMB+,150,8,500,17.98900032043457,77.42568954744263,2501.5286674314157,2251.375800688274
136,elecNormNew,LBagRUNPER,100,8,1,52.44800186157226,89.2147775423729,857.992648009165,772.1933832082485
137,elecNormNew,LBagRUNPER,150,8,1,68.427001953125,88.69835805084746,657.6351252510909,591.8716127259819
138,elecNormNew,LBagSequential,100,1,1,46.89400100708008,89.15960451977402,959.6110170511123,863.6499153460011
139,elecNormNew,LBagSequential,150,1,1,71.35800170898438,88.70939265536724,630.6230404758412,567.5607364282571
140,elecNormNew,OBMB+,100,8,2000,5.553999900817871,75.35325083117844,8102.2687799064215,7292.04190191578
141,elecNormNew,OBMB+,100,8,50,11.276000022888185,78.89841368034995,3990.776863130397,3591.6991768173575
142,elecNormNew,OBMB+,100,8,500,7.183000087738037,76.87449790234757,6264.79179316991,5638.31261385292
143,elecNormNew,OBMB+,150,8,2000,8.421999931335451,75.12698559290726,5343.148939311911,4808.8340453807195
144,elecNormNew,OBMB+,150,8,50,15.53499984741211,78.98236931642438,2896.6849335049274,2607.016440154435
145,elecNormNew,OBMB+,150,8,500,9.65999984741211,77.12666250111577,4658.385166750845,4192.546650075761
146,elecNormNew,OBSequential,100,1,1,15.461000442504885,82.82574152542372,2910.5490402993228,2619.4941362693908
147,elecNormNew,OBSequential,150,1,1,23.05400085449219,82.66905014124293,1951.9388536515785,1756.7449682864208
148,elecNormNew,OBAdwinSequential,100,1,1,19.29400062561035,84.93997175141244,2332.3312190768866,2099.098097169198
149,elecNormNew,OBAdwinSequential,150,1,1,29.85400009155273,84.7259004237288,1507.3356957861358,1356.6021262075224
150,elecNormNew,OBAdwinMB+,100,8,2000,6.7210001945495605,75.54488363502033,6695.432033537664,6025.888830183898
151,elecNormNew,OBAdwinMB+,100,8,50,11.57699966430664,80.58415447837037,3887.017474721081,3498.315727248973
152,elecNormNew,OBAdwinMB+,100,8,500,7.084000110626222,77.7916629474248,6352.343209664635,5717.1088886981715
153,elecNormNew,OBAdwinMB+,150,8,2000,9.213000297546387,75.28860362024379,4884.402317015493,4395.962085313944
154,elecNormNew,OBAdwinMB+,150,8,50,15.836999893188475,80.24170385754056,2841.447262960113,2557.302536664102
155,elecNormNew,OBAdwinMB+,150,8,500,10.020000457763672,77.27171293403553,4491.017758899722,4041.91598300975
156,elecNormNew,OBAdwinRUNPER,100,8,1,36.2760009765625,86.33474576271186,1240.48954649312,1116.440591843808
157,elecNormNew,OBAdwinRUNPER,150,8,1,49.63899993896485,86.43847104519773,906.5452578684326,815.8907320815894
158,elecNormNew,OBASHTSequential,100,1,1,17.93199920654297,81.68697033898306,2509.4803697950506,2258.5323328155455
159,elecNormNew,OBASHTSequential,150,1,1,25.42499923706055,81.31400070621469,1769.9115575353137,1592.9204017817824
160,elecNormNew,OBASHTMB+,100,8,2000,6.561999797821045,72.19477281123015,6857.665557219698,6171.899001497728
161,elecNormNew,OBASHTMB+,100,8,50,12.131999969482422,77.6633820865185,3709.1988223867265,3338.278940148054
162,elecNormNew,OBASHTMB+,100,8,500,7.874000072479247,73.48924395251272,5715.01137741685,5143.510239675165
163,elecNormNew,OBASHTMB+,150,8,2000,8.949000358581543,71.28278537125969,5028.49460239967,4525.645142159703
164,elecNormNew,OBASHTMB+,150,8,50,16.349000930786133,76.94092174450974,2752.461767572742,2477.2155908154677
165,elecNormNew,OBASHTMB+,150,8,500,10.020000457763672,72.4136392037847,4491.017758899722,4041.91598300975
166,elecNormNew,OBASHTRUNPER,100,8,1,37.43199920654297,82.94270833333334,1202.1799784643663,1081.9619806179296
167,elecNormNew,OBASHTRUNPER,150,8,1,53.55799865722656,82.4262888418079,840.2106338588543,756.1895704729689
168,elecNormNew,OBRUNPER,100,8,1,32.187999725341804,82.35346045197741,1398.0365472841493,1258.2328925557345
169,elecNormNew,OBRUNPER,150,8,1,43.111000061035156,82.19897598870057,1043.817121762206,939.4354095859853
170,elecNormNew,SRPSequential,100,1,1,163.75599670410156,89.85919844632768,274.79909686185493,247.31918717566944
171,elecNormNew,SRPSequential,150,1,1,225.26800537109372,89.72016242937853,199.76205642638666,179.785850783748
172,elecNormNew,SRPMB+,100,8,2000,33.020999908447266,76.31141485038788,1362.7691506848746,1226.4922356163872
173,elecNormNew,SRPMB+,100,8,50,46.112998962402344,81.59162211126329,975.8636612788986,878.2772951510087
174,elecNormNew,SRPMB+,100,8,500,33.60699844360352,78.71552262786754,1339.0068165568332,1205.10613490115
175,elecNormNew,SRPMB+,150,8,2000,49.1500015258789,75.97432582194311,915.5645697448493,824.0081127703644
176,elecNormNew,SRPMB+,150,8,50,57.49200057983398,81.3927798152976,782.71758759747,704.4458288377231
177,elecNormNew,SRPMB+,150,8,500,52.15399932861328,78.54369365348569,862.8293242952055,776.546391865685
178,elecNormNew,SRPRUNPER,100,8,1,112.24299621582031,89.89009533898306,400.9158835485308,360.82429519367776
179,elecNormNew,SRPRUNPER,150,8,1,157.2239990234375,89.57229872881358,286.21584668694135,257.5942620182472
180,GMSC,ARFMB+,100,8,2000,54.222999572753906,93.53108108108108,2766.353783116276,2489.718404804649
181,GMSC,ARFMB+,100,8,50,81.2040023803711,93.53251083694565,1847.1995911898366,1662.479632070853
182,GMSC,ARFMB+,100,8,500,56.09199905395508,93.52508361204012,2674.1781810221187,2406.760362919907
183,GMSC,ARFMB+,150,8,2000,85.93900299072266,93.52297297297298,1745.4240191289268,1570.881617216034
184,GMSC,ARFMB+,150,8,50,112.72699737548828,93.5245081693898,1330.6484115810972,1197.5835704229876
185,GMSC,ARFMB+,150,8,500,87.24099731445312,93.54983277591973,1719.3751174042304,1547.4376056638075
186,GMSC,ARFRUNPER,100,8,1,221.343994140625,93.54866666666666,677.6782021232593,609.9103819109334
187,GMSC,ARFRUNPER,150,8,1,308.5989990234375,93.55066666666669,486.0676816019348,437.4609134417413
188,GMSC,ARFSequential,100,1,1,175.91600036621094,93.57133333333331,852.6796862578695,767.4117176320826
189,GMSC,ARFSequential,150,1,1,270.3489990234375,93.53733333333332,554.8383775853965,499.35453982685686
190,GMSC,LBagMB+,100,8,2000,43.33200073242188,93.53716216216215,3461.644915180825,3115.480423662743
191,GMSC,LBagMB+,100,8,50,55.45600128173828,93.4324774924975,2704.8470234617357,2434.3623211155623
192,GMSC,LBagMB+,100,8,500,41.935001373291016,93.56923076923077,3576.964232449914,3219.2678092049227
193,GMSC,LBagMB+,150,8,2000,68.25399780273439,93.5391891891892,2197.6734671795402,1977.9061204615862
194,GMSC,LBagMB+,150,8,50,81.43800354003906,93.48582860953651,1841.891911388181,1657.7027202493628
195,GMSC,LBagMB+,150,8,500,66.73000335693361,93.54180602006687,2247.8644156161904,2023.0779740545713
196,GMSC,LBagRUNPER,100,8,1,175.67999267578125,93.54466666666669,853.8251722085743,768.4426549877169
197,GMSC,LBagRUNPER,150,8,1,244.7769927978516,93.558,612.8026914844775,551.5224223360298
198,GMSC,LBagSequential,100,1,1,136.13600158691406,93.522,1101.8393242895022,991.655391860552
199,GMSC,LBagSequential,150,1,1,222.8769989013672,93.55733333333332,673.0169588580181,605.7152629722164
200,GMSC,OBMB+,100,8,2000,15.133000373840332,93.46891891891892,9912.112356733802,8920.901121060422
201,GMSC,OBMB+,100,8,50,32.459999084472656,93.50316772257419,4621.072219060936,4158.964997154842
202,GMSC,OBMB+,100,8,500,18.45800018310547,93.47959866220735,8126.5575095884105,7313.9017586295695
203,GMSC,OBMB+,150,8,2000,23.66699981689453,93.45135135135136,6337.93895130398,5704.145056173582
204,GMSC,OBMB+,150,8,50,45.84199905395508,93.4704901633878,3272.1086142742843,2944.897752846856
205,GMSC,OBMB+,150,8,500,24.65900039672852,93.46889632107023,6082.971636591576,5474.674472932418
206,GMSC,OBSequential,100,1,1,41.49300003051758,93.46266666666668,3615.0675991053163,3253.560839194785
207,GMSC,OBSequential,150,1,1,67.68800354003906,93.48733333333334,2216.0499963818766,1994.444996743689
208,GMSC,OBAdwinSequential,100,1,1,49.63800048828125,93.46466666666666,3021.878369887454,2719.6905328987086
209,GMSC,OBAdwinSequential,150,1,1,81.69999694824219,93.49733333333332,1835.985380697463,1652.3868426277168
210,GMSC,OBAdwinMB+,100,8,2000,15.253999710083008,93.44662162162163,9833.486485570658,8850.137837013594
211,GMSC,OBAdwinMB+,100,8,50,23.392000198364254,93.40313437812605,6412.448646032806,5771.203781429525
212,GMSC,OBAdwinMB+,100,8,500,16.415000915527347,93.52240802675585,9137.983041969335,8224.184737772403
213,GMSC,OBAdwinMB+,150,8,2000,23.68199920654297,93.47297297297294,6333.924711835871,5700.532240652284
214,GMSC,OBAdwinMB+,150,8,50,34.68399810791016,93.4438146048683,4324.760932500179,3892.284839250161
215,GMSC,OBAdwinMB+,150,8,500,25.00900077819824,93.50367892976587,5997.840590686993,5398.056531618294
216,GMSC,OBAdwinRUNPER,100,8,1,96.2480010986328,93.53666666666666,1558.473924526322,1402.6265320736898
217,GMSC,OBAdwinRUNPER,150,8,1,140.52000427246094,93.54066666666668,1067.4636737781323,960.7173064003191
218,GMSC,OBASHTSequential,100,1,1,30.79800033569336,93.314,4870.446079778674,4383.401471800807
219,GMSC,OBASHTSequential,150,1,1,45.05199813842773,93.31466666666668,3329.486064948924,2996.537458454032
220,GMSC,OBASHTMB+,100,8,2000,9.5600004196167,93.30405405405405,15690.375880340613,14121.338292306551
221,GMSC,OBASHTMB+,100,8,50,18.591999053955078,93.31443814604867,8067.986641172429,7261.187977055186
222,GMSC,OBASHTMB+,100,8,500,12.07699966430664,93.31237458193979,12420.303400630402,11178.273060567362
223,GMSC,OBASHTMB+,150,8,2000,13.164999961853027,93.30405405405405,11393.84735546075,10254.462619914675
224,GMSC,OBASHTMB+,150,8,50,24.10400009155273,93.3151050350117,6223.0334977706725,5600.730147993605
225,GMSC,OBASHTMB+,150,8,500,13.913000106811525,93.31237458193979,10781.283608742518,9703.155247868266
226,GMSC,OBASHTRUNPER,100,8,1,80.9010009765625,93.31333333333332,1854.1179736880622,1668.706176319256
227,GMSC,OBASHTRUNPER,150,8,1,111.77999877929688,93.31466666666668,1341.9216464312753,1207.729481788148
