,pontos,distancia,batch_size,PERC,inc_rate
149,"(0.0037808722925319347, 0.00015247478301665495)",0.0037839455402914647,100,50,medio
150,"(0.003667195598273109, 0.000960088468885091)",0.0037907906067309732,500,90,alto
151,"(0.0037610562802369643, 0.00048255755504172113)",0.0037918868834707813,250,50,medio
152,"(0.00376471324111604, 0.00047920646090948693)",0.0037950895404472128,250,90,medio
153,"(0.0038041389749282253, 0.00014912368888442076)",0.003807060705472723,100,90,medio
154,"(0.003829655481286501, 8.042625917362019e-05)",0.0038304999006020615,50,50,baixo
155,"(0.0038370352793292914, 3.686203545457592e-05)",0.0038372123402902096,25,10,baixo
156,"(0.0038378223642987317, 5.0266411983512615e-05)",0.0038381515358418563,25,50,baixo
157,"(0.0037264194682217165, 0.00099527495727355)",0.00385704216903545,500,50,alto
158,"(0.003879254258067222, 8.210180623973728e-05)",0.0038801229755409173,50,90,baixo
159,"(0.003880755825706886, 4.0213129586810096e-05)",0.0038809641681609355,25,90,baixo
160,"(0.003912278477566179, 9.047954157032271e-05)",0.003913324601086692,50,90,baixo
161,"(0.0039478118895566764, 4.0213129586810096e-05)",0.0039480166933684845,25,50,baixo
162,"(0.003877068007770549, 0.0010706745752488188)",0.004022188506641892,500,10,alto
163,"(0.0040416832213652784, 5.1941959049629706e-05)",0.0040420169753448,25,90,baixo
164,"(0.003992131537674566, 0.0010287858985958916)",0.004122561659847631,500,90,alto
165,"(0.0027237812530825525, 0.0030997620723166113)",0.0041264402600324325,2000,90,baixo
166,"(0.004137149103925266, 0.0001960390067356992)",0.004141791158456876,100,90,medio
167,"(0.003000971298920759, 0.002960691665828893)",0.0042156285269286725,2000,90,baixo
168,"(0.004090064601050085, 0.0010455413692570625)",0.004221585625756147,500,10,alto
169,"(0.004208088475969682, 0.0005143929492979458)",0.004239411365729478,250,10,medio
170,"(0.004132553322666663, 0.001114238798967863)",0.0042801314309035676,500,10,alto
171,"(0.00430033257014452, 0.0005160684963640629)",0.004331187701633957,250,90,medio
172,"(0.0028866208954446875, 0.0032723434201266713)",0.004363577850029057,2000,50,baixo
173,"(0.004343587291816633, 0.0005596327200831071)",0.004379490762979021,250,10,medio
174,"(0.004280121077373837, 0.0010840789517777554)",0.004415276164711255,500,10,alto
175,"(0.004330697684367659, 0.0011494252873563218)",0.004480638450556077,500,90,alto
176,"(0.004473668876666033, 0.0005227706846285313)",0.004504109502083326,250,90,medio
177,"(0.004342334486046758, 0.0012181227170671223)",0.004509954738414339,500,50,alto
178,"(0.004683931655017867, 0.00010891055929761067)",0.004685197675531411,50,90,baixo
179,"(0.004692822861136796, 0.00021782111859522133)",0.004697875311852605,100,90,medio
180,"(0.004760755002760766, 0.00020441674206628463)",0.0047651415929381,100,50,medio
181,"(0.004774693690805416, 0.00011058610636372776)",0.004775974154864925,50,90,baixo
182,"(0.004837666353142393, 5.529305318186388e-05)",0.004837982334202575,25,90,baixo
183,"(0.004868067639261976, 5.864414731409805e-05)",0.004868420860653264,25,90,baixo
184,"(0.004683588322623679, 0.0013303843704969673)",0.004868872780128836,500,10,alto
185,"(0.004860455295269604, 0.0005914681143393318)",0.004896310877343723,250,10,medio
186,"(0.004908619022000622, 0.00010723501223149358)",0.004909790224744295,50,90,baixo
187,"(0.004875705801680073, 0.0007137830501658791)",0.004927676258363655,250,90,medio
188,"(0.004949341432874823, 5.529305318186388e-05)",0.004949650284707151,25,90,baixo
189,"(0.004995549834697883, 5.1941959049629706e-05)",0.004995819864452676,25,90,baixo
190,"(0.004966404810206011, 0.000653463355785664)",0.005009210626055972,250,10,medio
191,"(0.005041163757061235, 0.00010388391809925941)",0.005042234018165699,50,50,baixo
192,"(0.005062647165226065, 0.0005194195904962971)",0.00508922322467416,250,10,medio
193,"(0.0051315244543191085, 0.0006735699205790691)",0.005175542451104417,250,50,medio
194,"(0.0035745093661695027, 0.003821922857813076)",0.0052329925988775835,2000,90,baixo
195,"(0.005300148070144534, 5.529305318186388e-05)",0.005300436480818065,25,50,baixo
196,"(0.005284417379204858, 0.0006166013203310881)",0.005320269187350991,250,50,medio
197,"(0.0037733398003437168, 0.003845380516738715)",0.005387489635012922,2000,90,baixo
198,"(0.005208828044639837, 0.0014526993063235147)",0.005407608054696577,500,50,alto
199,"(0.005498502201068677, 0.00024462987165309476)",0.005503941335921205,100,50,medio
200,"(0.0037168783205750134, 0.004063201635333936)",0.0055067950733017935,2000,10,baixo
201,"(0.005519314125275845, 0.0002530076069836802)",0.005525110067922727,100,90,medio
202,"(0.005358549442765095, 0.0014476726651251634)",0.005550658364186063,500,50,alto
203,"(0.005522603528395166, 0.000747293991488221)",0.00557293441927654,250,50,medio
204,"(0.003872337166791217, 0.0041084414061190976)",0.00564573165504937,2000,50,baixo
205,"(0.005702555632823392, 0.00026138534231426563)",0.005708542987717842,100,90,medio
206,"(0.005542196638969961, 0.0014309171944639925)",0.005723938120072808,500,10,alto
207,"(0.005537857659462505, 0.0015465299420260716)",0.0057497497613418535,500,50,alto
208,"(0.005711986015548063, 0.0006869742971080058)",0.005753148522913664,250,90,medio
209,"(0.0057728009660832375, 0.00024295432458697764)",0.005777911196777523,100,10,medio
210,"(0.00582452905114977, 0.000211118930330753)",0.005828353958917701,100,10,medio
211,"(0.00594849443947989, 7.707516504138601e-05)",0.005948993753366138,50,10,baixo
212,"(0.005917141920037341, 0.0007757782916122113)",0.005967780195315504,250,50,medio
213,"(0.0060183414336105355, 0.00013571931235548405)",0.006019871538767215,50,90,baixo
214,"(0.006027138702899216, 0.00021614557152910426)",0.00603101316961564,100,10,medio
215,"(0.006065774624575312, 6.367078851244931e-05)",0.006066108782856731,25,10,baixo
216,"(0.006120297975863229, 0.00011226165342984485)",0.006121327469772087,50,10,baixo
