dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,45312.0,48.516998291015625,88.85204589163737,88.80815215449269,88.304291561078,0
GMSC,OzaBagExecutorMAXChunk,25,4,100,1,150000.0,19.635000228881836,93.43095396931288,74.21183644860551,54.89840729755107,0
elecNormNew,LBagExecutorMAXChunk,25,4,250,1,45312.0,33.75600051879883,89.57436420931163,89.60876605409926,88.98903639523714,175.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,5,1,581012.0,250.48199462890625,75.84263184436676,73.86443196130304,49.43016644181513,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,581012.0,612.7639770507812,92.36438872077692,89.23974582430701,81.52067589953319,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,539383.0,1978.9339599609375,66.21140395967214,65.81532587229628,65.09216069128212,0
elecNormNew,LBagExecutorMAXChunk,25,4,15,1,45312.0,40.744998931884766,90.02582952513411,90.06420782282851,89.46595467685665,3004.0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,66100.0,122.26799774169922,93.40847201210288,74.90513361916857,53.49534334568061,0
airlines,LBagExecutorMAXChunk,25,4,500,1,539383.0,2083.912109375,63.405228964357754,62.831899997305364,62.32971392983089,1075.0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,25300.0,121.41799926757812,81.72332015810277,79.54576900984537,79.151989464872,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,1,539383.0,790.3170166015625,87.61748307631834,88.08683354765472,86.9460285595785,0
airlines,OzaBagExecutorRUNPER,25,4,1,1,369840.0,365.2760009765625,65.6362210685702,65.0933765653499,62.001653469352426,0
covtypeNorm,LBagExecutorRUNPER,25,4,1,1,142110.0,502.0119934082031,93.33685173457181,82.92106629626856,82.09919449654872,688.0
covtypeNorm,OzaBag,25,1,1,1,36250.0,120.4990005493164,74.92137931034483,68.08930177954126,70.99107266312014,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1,45312.0,15.756999969482422,86.30723913237526,86.3715104423389,85.48054989255967,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,1,45312.0,21.139999389648438,86.10859628590987,86.45853429392496,85.05012514421198,0
