,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
363,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,4241,3447.658447265625,38500.0,11.166999816894531,142.0,77.65789473684211,25,16,4.570967741935483,141.7,4182.0027688047985,45312.0,73.13548387096773,51.04399593722435,0.0018996229576874735,90,3447.6583353886535
76,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2356,2281.802490234375,44000.0,19.28300094604492,177.0,78.64597701149425,25,25,4.07872340425532,191.70000000000005,2327.2727272727275,45312.0,101.968085106383,78.65002726291088,0.002317456479690523,50,2281.8025121253086
209,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,471,465.5060119628906,45000.0,96.66899871826172,621.0,76.96179775280899,25,103,3.0957219251336903,578.9000000000001,467.82369885501305,45312.0,318.8593582887701,299.26033881284343,0.007085763517528225,10,465.50601119962835
297,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,4188,3238.664794921875,39000.0,12.041999816894531,76.0,77.43225806451612,25,18,4.502941176470589,153.10000000000002,4105.463441152487,45312.0,81.0529411764706,54.22441682254568,0.0020782805429864254,90,3238.664722887994
399,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,2326,2243.359619140625,43750.0,19.50200080871582,87.0,78.1080459770115,25,24,4.053333333333334,182.4,2303.492450815922,45312.0,97.28,79.04810994466146,0.0022235428571428574,50,2243.3595623915307
379,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,465,463.3184814453125,45250.0,97.66500091552734,309.0,77.9088888888889,25,104,3.061375661375661,578.5999999999999,463.06667211707475,45312.0,318.3830687830687,298.98925677102704,0.007036089917857873,10,463.31848232037333
383,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,3819,3620.201904296875,44800.0,12.375,27.0,76.17673378076063,25,18,4.467647058823529,151.89999999999998,3762.205247426104,45312.0,80.41764705882352,55.287132352941164,0.001795036764705882,90,3620.2020202020203
278,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,2121,2121.680419921875,45300.0,21.35099983215332,36.0,75.69469026548673,25,27,3.7725490196078426,192.39999999999998,2111.069698099143,45312.0,101.85882352941175,80.54769348443722,0.0022485391507596412,50,2121.680500028899
154,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,424,419.0835571289063,45300.0,108.09300231933594,130.0,76.13938053097345,25,113,3.0278048780487805,620.7,418.50155164770206,45312.0,342.1419512195122,327.2845197054235,0.007552802455176869,10,419.0835579362627
303,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,3727,3260.627685546875,43950.0,13.479000091552734,15.0,75.68337129840546,25,18,4.500000000000001,153.00000000000003,3700.751388435152,45312.0,81.00000000000001,60.65550041198732,0.0018430034129692835,90,3260.6276208532254
