,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
74,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,3785,76.13793729710096,12.432000160217283,14.0,3547.216796875,,44099.0,25,17,4.6875,150.0,3763.4551495016613,45312.0,79.6875,65.625,6.409869608512556,90,0.8880000114440917
209,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2102,76.99126811754799,21.520999908447266,18.0,2098.97314453125,,45172.0,25,27,4.21,210.5,2091.097881766579,45312.0,113.67,75.78,5.28181778186724,50,1.195611106024848
205,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,420,75.96659449427776,108.11799621582033,65.0,419.09765625,,45312.0,25,113,3.1951456310679616,658.2,418.4976864038126,45312.0,361.05145631067967,207.6844660194175,3.339420530787167,10,1.6633537879356974
204,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,3570,76.07162610619469,12.970999717712402,7.0,3347.236328125,,43417.0,25,19,4.6,165.6,3530.3467082197117,45312.0,87.39999999999999,32.199999999999996,6.738108233912912,90,1.8529999596732003
97,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1983,76.84103605891316,22.91699981689453,10.0,1977.22216796875,,45312.0,25,28,4.0807692307692305,212.2,1964.0240995188765,45312.0,114.26153846153845,40.80769230769231,4.985885559823771,50,2.291699981689453
265,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,396,78.3955660564842,114.927001953125,35.0,394.2676696777344,,45312.0,25,121,3.2290909090909095,710.4000000000001,393.6853262899989,45312.0,390.72,113.01818181818183,3.3997232448416437,10,3.283628627232143
495,LBagExecutorMAXChunk,elecNormNew,4,2000,1279,86.75797835912888,35.97800064086914,1760.0,1070.2373046875,,38505.0,25,42,5.045454545454546,388.5,1267.9650772330424,45312.0,211.90909090909093,8880.0,5.889962953315789,90,0.020442045818675647
123,LBagExecutorMAXChunk,elecNormNew,4,2000,710,87.09244532803181,64.30799865722656,2476.0,656.8389892578125,,42240.0,25,70,4.3570312499999995,557.6999999999999,705.8163805726036,45312.0,304.99218749999994,10788.009374999998,4.742678887048939,50,0.025972535806634313
354,LBagExecutorMAXChunk,elecNormNew,4,2000,142,88.44435418359058,119.8219985961914,8555.0,139.97430419921875,,16772.0,25,126,3.5144736842105266,801.3000000000001,139.75269139752692,16772.0,442.8236842105264,30066.322368421057,3.695679336003011,10,0.014006078152681636
44,LBagExecutorMAXChunk,elecNormNew,4,500,1253,88.72209672326264,36.40499877929688,418.0,1144.5955810546875,,41669.0,25,41,5.430666666666667,407.30000000000007,1239.7264021887827,45312.0,222.65733333333336,2270.018666666667,6.116119785724484,90,0.08709329851506431
56,LBagExecutorMAXChunk,elecNormNew,4,500,696,88.33337150447747,65.23699951171875,607.0,676.9624633789062,,44163.0,25,71,4.335384615384616,563.6,692.9182022540639,45312.0,307.8123076923077,2631.578461538462,4.718370096665992,50,0.10747446377548393
164,LBagExecutorMAXChunk,elecNormNew,4,500,139,89.77221974095578,119.8239974975586,2220.0,134.97296142578125,,16173.0,25,126,3.4381578947368423,783.9000000000001,134.76040095656305,16173.0,433.20789473684215,7632.71052631579,3.615368405195034,10,0.053974773647548914
322,LBagExecutorMAXChunk,elecNormNew,4,250,1208,89.42656949359079,37.76300048828125,202.0,1136.6417236328125,,42923.0,25,44,5.075308641975309,411.1,1193.8662591558202,45312.0,223.3135802469136,1025.2123456790125,5.913554997204554,90,0.18694554697168936
