arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
Cloud,airlines,OzaBagASHTExecutorRUNPER,100,8,1,517.7960205078125,68.35810546494791,68.45366991779224,66.85531788005156
Cloud,airlines,OzaBagASHTExecutorRUNPER,150,8,1,661.5800170898438,68.05257117855031,67.96507395627981,66.68708207474808
Cloud,airlines,OzaBagExecutorMAXChunk,100,8,2000,131.0780029296875,64.91831710344391,65.77758968115974,62.59113385424446
Cloud,airlines,OzaBagExecutorMAXChunk,100,8,50,143.1719970703125,65.08669041204598,65.96891517354766,62.72171342291969
Cloud,airlines,OzaBagExecutorMAXChunk,100,8,500,131.5449981689453,65.04083446685087,65.92279730531668,62.68316257398323
Cloud,airlines,OzaBagExecutorMAXChunk,150,8,2000,205.9290008544922,64.92259710485817,65.79922744500942,62.58786575595814
Cloud,airlines,OzaBagExecutorMAXChunk,150,8,50,226.79100036621094,65.07389683182745,65.94991496946736,62.7100554154458
Cloud,airlines,OzaBagExecutorMAXChunk,150,8,500,210.94400024414062,65.01893732034597,65.87608735192723,62.66990324077337
Cloud,airlines,OzaBagExecutorRUNPER,100,8,1,275.2950134277344,65.11458462725003,65.52113204065392,63.00709425675728
Cloud,airlines,OzaBagExecutorRUNPER,150,8,1,400.7120056152344,65.12923099170719,65.55068127305854,63.0146490359395
Cloud,airlines,StreamingRandomPatches,100,1,1,2845.798095703125,68.53293485334169,68.45407276344967,67.20801832086785
Cloud,airlines,StreamingRandomPatches,150,1,1,4384.52099609375,68.59634063364993,68.57470357903834,67.22084074823015
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,100,8,2000,578.6530151367188,67.09776825839299,66.93132937583066,65.75686861530919
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,100,8,50,738.3770141601562,68.5085095849874,68.44775575053812,67.16319225189669
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,100,8,500,576.135986328125,68.05707361338176,67.94246428905402,66.73246749373432
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,150,8,2000,860.1110229492188,67.0028638792072,66.89553353083578,65.58454535308218
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1071.4759521484375,68.40078393126325,68.34283653389981,67.04174329011266
Cloud,airlines,StreamingRandomPatchesExecutorMAXChunk,150,8,500,874.5490112304688,68.07971303603935,68.00398685162602,66.71618660230847
Cloud,airlines,StreamingRandomPatchesExecutorRUNPER,100,8,1,1084.572021484375,68.56463774349581,68.50189119200117,67.22636554592773
Cloud,airlines,StreamingRandomPatchesExecutorRUNPER,150,8,1,1461.93701171875,68.6072790577382,68.57489392356136,67.24319183790521
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,219.61000061035156,84.74073076205674,80.1958031168439,62.6331348846028
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,50,249.07200622558594,89.60981957511851,86.92190259906425,75.2153885934269
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,500,221.51699829101562,89.32356264814509,84.62000106740888,73.27745689051028
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,329.7279968261719,84.59323813668802,80.31333507237355,62.37548027246748
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,50,366.635986328125,89.4015443350856,86.93532351866668,74.87716894033743
Cloud,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,500,324.8900146484375,88.98541287690867,84.29265480674798,72.6988955634497
Cloud,covtypeNorm,AdaptiveRandomForestExecutorRUNPER,100,8,1,589.8699951171875,92.65849930810379,89.89387697680347,82.1689785979937
Cloud,covtypeNorm,AdaptiveRandomForestExecutorRUNPER,150,8,1,745.9769897460938,92.57227045224539,89.7442663916502,82.02119530107318
Cloud,covtypeNorm,AdaptiveRandomForestSequential,100,1,1,949.0,92.6512705417444,89.91543690805466,82.07795470611828
Cloud,covtypeNorm,AdaptiveRandomForestSequential,150,1,1,1390.822998046875,92.59309618389982,89.96421869137717,82.16024449224271
Cloud,covtypeNorm,LBagExecutorMAXChunk,100,8,2000,692.2919921875,85.98958225390838,78.52207276930201,68.6530247289305
Cloud,covtypeNorm,LBagExecutorMAXChunk,100,8,50,813.677978515625,91.37292972690125,84.81602570105004,83.70624275853316
Cloud,covtypeNorm,LBagExecutorMAXChunk,100,8,500,775.677978515625,91.46443139848961,85.00068828975877,80.86312884527624
Cloud,covtypeNorm,LBagExecutorMAXChunk,150,8,2000,609.9010009765625,85.42586336725319,78.2214778351145,68.20143073814184
Cloud,covtypeNorm,LBagExecutorMAXChunk,150,8,50,592.697021484375,91.61081103411239,85.4102886004755,84.06904007061684
Cloud,covtypeNorm,LBagExecutorMAXChunk,150,8,500,603.8369750976562,91.30267763629348,84.97401489983726,80.45835242090288
Cloud,covtypeNorm,LBagExecutorRUNPER,100,8,1,1845.177978515625,93.3443715448218,86.87645414331818,87.57118831300681
Cloud,covtypeNorm,LBagExecutorRUNPER,150,8,1,1200.8199462890625,93.50753512836224,87.38096938006247,87.60412518456036
Cloud,covtypeNorm,LeveragingBag,100,1,1,1228.7130126953125,93.35762428314733,86.85253266780448,87.51252048304235
Cloud,covtypeNorm,LeveragingBag,150,1,1,1819.8070068359375,93.490668006857,87.21825445833794,87.56103565046054
Cloud,covtypeNorm,OzaBag,100,1,1,589.5440063476562,84.41701720446395,73.92078768669374,73.76774605937074
Cloud,covtypeNorm,OzaBag,150,1,1,982.7020263671875,84.31512602149354,73.98013256584824,73.95627642857386
Cloud,covtypeNorm,OzaBagAdwin,100,1,1,851.52099609375,84.29034167968992,73.16900579022591,80.4949756394738
Cloud,covtypeNorm,OzaBagAdwin,150,1,1,1256.5670166015625,84.32132210694444,72.95261829331098,80.03902203279348
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,2000,326.9530029296875,82.11142428827036,70.05689183219643,65.19952333594749
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,50,365.76300048828125,83.22523676247327,73.24897911796594,79.03684334052873
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,500,322.5369873046875,84.76586185987543,73.33718741643895,75.40545593913052
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,2000,453.8399963378906,81.46912326514821,68.78258834524591,64.09634958777033
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,50,536.1950073242188,83.2267859171512,72.45293886880948,78.80049175306151
Cloud,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,500,475.0150146484375,85.1689543024089,74.15172411964116,75.06040416126932
Cloud,covtypeNorm,OzaBagAdwinExecutorRUNPER,100,8,1,746.1690063476562,86.0051083282273,78.46066260073606,82.42025724462462
Cloud,covtypeNorm,OzaBagAdwinExecutorRUNPER,150,8,1,1007.5809936523438,86.0844526446958,78.0630239497454,82.46902667445171
Cloud,covtypeNorm,OzaBagASHT,100,1,1,865.85498046875,81.1644165697094,70.21211570754862,77.7271204806604
Cloud,covtypeNorm,OzaBagASHT,150,1,1,1149.1689453125,80.45892339573021,69.60163659001871,77.50599111063818
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,100,8,2000,398.37701416015625,76.90427832238365,64.01168549459317,65.02063740882707
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,100,8,50,405.7359924316406,79.06437942584886,68.58683740556958,74.3753634196503
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,100,8,500,387.4209899902344,78.9549570034728,67.69832239716229,72.39683016528807
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,150,8,2000,523.5419921875,76.04401981306087,63.360204202978224,64.33680536778006
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,150,8,50,524.1900024414062,78.14659134332366,67.8963529155391,73.86706000628244
Cloud,covtypeNorm,OzaBagASHTExecutorMAXChunk,150,8,500,493.0989990234375,78.00820654870184,66.90846251696351,71.94534569183236
Cloud,covtypeNorm,OzaBagASHTExecutorRUNPER,100,8,1,624.968017578125,82.36714560112355,72.5774470038167,78.9448065107654
Cloud,covtypeNorm,OzaBagASHTExecutorRUNPER,150,8,1,988.0339965820312,81.4940138930005,71.68460036565206,78.53884432767248
Cloud,covtypeNorm,OzaBagExecutorMAXChunk,100,8,2000,276.8420104980469,79.3762478152439,65.3790282412386,61.56265347887676
