arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,4,1,45.029998779296875,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,64,1,56.446998596191406,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,8,1,34.45100021362305,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,96,1,62.79899978637695,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LeveragingBag,100,1,1,27.906999588012695,89.15960451977402,89.1826382935279,88.56208057429278
AMD-SCAL,elecNormNew,OzaBag,100,1,1,7.9019999504089355,82.82574152542372,82.55528322552207,82.1433195088703
AMD-SCAL,elecNormNew,OzaBagAdwin,100,1,1,11.133999824523926,84.93997175141243,85.03081225451147,84.00282134475295
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,128,50,8.125,80.3831028235606,80.35539495173948,79.19936872913868
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,16,50,6.517000198364258,80.44496487119439,80.391328586075,79.29271434641868
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,2,50,11.96399974822998,80.21077283372365,80.16596515859204,79.02916306163938
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,32,50,6.425000190734863,80.26821616366931,80.21560968690012,79.09955300432297
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,4,50,8.838000297546387,80.42508064159782,80.33604584924964,79.30820987633402
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,64,50,7.760000228881836,80.40298705315718,80.34576413964534,79.25078132812402
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,8,50,6.383999824523926,80.3587998762759,80.27028529848889,79.23560368904585
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,96,50,8.038999557495117,80.34996244089965,80.33224601554491,79.15350733136593
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,128,1,51.5989990234375,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,16,1,30.086000442504883,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,2,1,32.51900100708008,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,32,1,36.75699996948242,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,4,1,31.013999938964844,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,64,1,42.79999923706055,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,8,1,25.56399917602539,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagAdwinExecutorRUNPER,100,96,1,45.08399963378906,86.33474576271186,86.395557363363,85.52075406379454
AMD-SCAL,elecNormNew,OzaBagASHT,100,1,1,11.14799976348877,81.68697033898306,82.46292599317195,80.03465856161357
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,128,50,7.232999801635742,77.48221466130529,77.74070165006971,75.78327203348347
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,16,50,5.920000076293945,77.53744863240688,77.86672486674718,75.79166167418873
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,2,50,10.465999603271484,77.75175644028103,78.10415676066738,76.01062772007461
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,32,50,6.263000011444092,77.60372939772878,77.82935590364369,75.94209976652466
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,4,50,8.041000366210938,77.54628606778313,77.82900037055975,75.83552481535398
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,64,50,6.927000045776367,77.6501259334541,77.95877236383757,75.93052202638637
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,8,50,6.828999996185303,77.58605452697627,77.89692587058656,75.85846990024933
AMD-SCAL,elecNormNew,OzaBagASHTExecutorMAXChunk,100,96,50,7.533999919891357,77.55733286200345,77.86475109422746,75.82941955299025
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,128,1,46.959999084472656,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,16,1,32.417999267578125,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,2,1,33.05099868774414,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,32,1,37.89899826049805,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,4,1,29.777000427246094,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,64,1,37.06399917602539,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,8,1,31.867000579833984,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagASHTExecutorRUNPER,100,96,1,41.95899963378906,82.94270833333334,83.49296234573185,81.52312196390076
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,128,50,7.921000003814697,78.8232954796518,78.42955153895653,77.9950629694794
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,16,50,5.915999889373779,78.80341125005523,78.39903883860222,77.99622104320176
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,2,50,9.807999610900879,78.80341125005523,78.39039450955998,78.01602038746829
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,32,50,6.353000164031982,78.79899253236711,78.42771568396367,77.92274290392524
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,4,50,7.828000068664551,78.89399496266184,78.51328953828664,78.0462469907666
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,64,50,7.35699987411499,79.09283725862754,78.709662414077,78.27089291272308
AMD-SCAL,elecNormNew,OzaBagExecutorMAXChunk,100,8,50,6.561999797821045,78.94922893376342,78.55767232742996,78.12973759248285
