dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,411,24601.0,60.15599822998047,93.50028759789389,75.3,51.2,
airlines,OzaBagExecutorMAXChunk,25,4,2000,105,6000.0,64.90599822998047,61.45,59.83483583159628,54.79838056680162,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,2225,124000.0,60.13399887084961,93.5174089068826,78.31783993062507,53.205720008297384,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,121,7200.0,60.1619987487793,65.80419580419581,63.115919092574416,58.58833833501835,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,204,12001.0,60.13199996948242,93.55702451677685,73.22900638783979,51.154534524624495,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,100,6000.0,60.15599822998047,64.08403361344538,?,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,103,6000.0,61.542999267578125,80.61818181818182,79.91937204198439,78.78593201832655,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,39,2100.0,60.56399917602539,74.63414634146342,62.68531307550644,57.0533136046202,0
GMSC,LBagExecutorMAXChunk,25,4,500,818,7500.0,143.39100646972656,93.27142857142857,64.78354978354979,52.434213874891846,2.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,5,1500.0,61.393001556396484,45.1,?,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,36
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,460,45312.0,98.69100189208984,79.0530687994344,78.7599096609179,78.09124793355919,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,382,45312.0,119.50399780273438,79.7600636295347,79.77338406049125,78.4896520608743,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,5400.0,60.02899932861328,79.42056074766354,78.60259499080463,77.89610304462124,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,34,1801.0,60.09600067138672,94.51741861793262,80.6159420289855,51.00069808898141,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,255,30549.0,119.88300323486328,80.3403390275091,80.4955167053787,78.92839638227127,0
GMSC,LBagExecutorMAXChunk,25,4,2000,749,40000.0,61.3489990234375,93.34210526315789,72.83638429861506,52.31675038082169,12.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,260,15601.0,60.1349983215332,93.58982848817959,75.3,51.7,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,106,6301.0,60.13100051879883,55.36976383382175,?,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,109,6301.0,60.125,64.66126529908637,60.943552355766094,56.24266508728021,0
airlines,OzaBagExecutorMAXChunk,25,4,500,103,6000.0,62.21500015258789,64.96363636363637,60.72967052653866,56.0170032715065,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,77
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,21,1201.0,60.0890007019043,72.61055634807418,54.708360105661455,53.102799341331455,0
