,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
161,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,68,64.89730072021484,7788.0,120.00499725341795,218.0,81.45047017905449,124,3.980888888888889,895.7,64.89508627718521,7800.0,477.72656017727314,0.061341366227179395,10,64.89729743132163
286,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,125,124.97496795654295,14975.0,119.8239974975586,712.0,71.77142857142857,125,5.230973451327434,1182.2,124.77918874779189,14975.0,626.7961497416538,0.04185617026655451,90,124.97496588949234
281,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,69,64.77275848388672,7800.0,120.4209976196289,1170.0,73.31168831168831,125,4.473684210526317,1020.0000000000002,64.90102593544843,7800.0,538.725515666761,0.06906737380343089,50,64.77275686286609
17,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,100,13,9.967853546142578,1200.0,120.38700103759766,5726.0,62.727272727272734,125,3.7765486725663715,853.5,9.98892893709472,1200.0,454.64736896278583,0.3788728074689882,10,9.967853585996648
172,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,75,135,134.91665649414062,16173.0,119.8740005493164,521.0,73.7917753758231,124,5.281944444444445,1140.9,134.76264675738057,16173.0,633.1678112347921,0.039149682262708964,90,134.91666187737178
144,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,75,75,74.6064453125,9000.0,120.63300323486328,744.0,75.31652661064426,125,4.056828193832598,920.8999999999999,74.87956869368432,9000.0,489.38736862989236,0.05437637429221026,50,74.6064489705001
15,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,75,15,14.973920822143556,1800.0,120.20899963378906,2879.0,67.2463768115942,125,4.190707964601771,947.1000000000001,14.982894528746348,1800.0,503.76081218213113,0.27986711787896174,10,14.973920467549132
32,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,126,124.85408782958984,14975.0,119.94000244140624,338.0,75.43718592964824,125,5.238596491228071,1194.4,124.78750708309722,14975.0,628.317275947437,0.04195774797645656,90,124.85409117208974
44,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,70,69.88933563232422,8387.0,120.00399780273438,552.0,76.88617008516253,123,4.421198156682028,959.4000000000001,69.88876038971304,8400.0,530.5614538799233,0.06325998019314694,50,69.88933830176862
62,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,14,9.98452377319336,1200.0,120.18599700927734,2783.0,66.8695652173913,125,4.06140350877193,926.0,9.989012086704625,1200.0,488.1238299587317,0.4067698582989431,10,9.984524236274964
237,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,114,109.74411010742188,13175.0,120.052001953125,191.0,77.97718631178708,124,5.153777777777778,1159.6000000000001,109.8093460435971,13178.0,618.72133984375,0.04696177152514232,90,109.74410909985704
86,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,63,59.92359924316406,7200.0,120.15299987792967,297.0,78.75958188153311,125,4.395982142857143,984.7,59.90863932502933,7200.0,528.1904418740953,0.07335978359362436,50,59.92359747417787
39,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,12,9.992671966552734,1200.0,120.08799743652344,1384.0,68.25531914893617,124,3.800000000000001,836.0000000000002,9.98892893709472,1200.0,456.3343902587892,0.380278658548991,10,9.992672253813712
214,OzaBagExecutorMAXChunk,covtypeNorm,4,100,668,657.2973022460938,78900.0,120.03700256347656,148.0,81.41497461928934,125,4.651769911504425,1051.3,662.9745518699133,79667.0,558.3845167919598,0.007077116816121163,90,657.2973192851681
167,OzaBagExecutorMAXChunk,covtypeNorm,4,100,371,369.41412353515625,44326.0,119.98999786376952,245.0,75.26568082123639,126,4.458823529411765,985.4000000000001,369.0388970294392,44326.0,535.0142257690429,0.01206998659407668,50,369.4141244199826
0,OzaBagExecutorMAXChunk,covtypeNorm,4,100,74,69.85620880126953,8400.0,120.24700164794922,921.0,60.43373493975904,125,3.819383259911895,867.0000000000001,69.89166791473217,8400.0,459.26938514877526,0.05467492680342562,10,69.85621167164678
229,OzaBagExecutorMAXChunk,covtypeNorm,4,75,600,595.6002197265625,71475.0,120.00499725341795,120.0,81.03361344537815,126,4.643421052631579,1058.7,598.267122774601,71880.0,557.2337306675157,0.00779620469629263,90,595.6001969573335
145,OzaBagExecutorMAXChunk,covtypeNorm,4,75,333,329.4582214355469,39534.0,119.99700164794922,196.0,73.63592589776731,125,4.3578947368421055,993.6,329.17294610369606,39534.0,522.9343019184314,0.013227457426985162,50,329.458231931378
74,OzaBagExecutorMAXChunk,covtypeNorm,4,75,66,64.85839080810547,7800.0,120.26200103759766,787.0,60.94498381877023,126,3.8753363228699564,864.2000000000003,64.89994591671173,7800.0,466.0557008820266,0.0597507308823111,10,64.85839195010132
37,OzaBagExecutorMAXChunk,covtypeNorm,4,50,652,643.1993408203125,77200.0,120.0250015258789,75.0,81.88852883992223,125,4.659030837004405,1057.6,648.1442947154641,77870.0,559.2001833205705,0.007243525690680965,90,643.1993252951945
270,OzaBagExecutorMAXChunk,covtypeNorm,4,50,362,359.5288391113281,43128.0,119.95700073242188,123.0,75.39347230604949,126,4.391266375545851,1005.6,359.0439480848159,43128.0,526.7631438276132,0.012213947872092684,50,359.5288289693242
7,OzaBagExecutorMAXChunk,covtypeNorm,4,50,72,69.89690399169922,8400.0,120.177001953125,488.0,61.4251497005988,125,3.869469026548673,874.5000000000001,69.891086390375,8400.0,465.0211867610966,0.05535966509060674,10,69.89690093347825
197,OzaBagExecutorMAXChunk,covtypeNorm,4,25,595,586.6226806640625,70400.0,120.00900268554688,41.0,81.62984014209592,125,4.614977973568282,1047.6,593.1581399993343,71281.0,553.8389040236956,0.007867029886700221,90,586.6226568390484
