,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPI,PERC,tput
197,LBagExecutorMAXChunk,elecNormNew,4,500,588,576.0413208007812,44725.0,77.64199829101562,702.0,78.08479366873941,2,25,83,3.910596026490066,590.5,582.1919568289862,45312.0,"2
",324.5794701986755,303.6264900055942,0.007257226835073795,50,576.0413305227278
162,LBagExecutorMAXChunk,elecNormNew,4,500,531,519.5321044921875,44500.0,85.65399932861328,740.0,88.30681818181819,3,25,92,3.838323353293413,641.0,527.865796831314,45312.0,"3
",353.125748502994,328.7677459259947,0.007935410078718966,10,519.5320749621376
108,LBagExecutorMAXChunk,elecNormNew,4,500,326,324.76416015625,38935.0,119.88700103759766,1075.0,76.66970209444517,2,25,126,3.593013100436681,822.8,324.25837400269836,38935.0,"2
",452.71965065502184,430.7555653001544,0.011627575463080053,90,324.7641500998897
51,LBagExecutorMAXChunk,elecNormNew,4,500,106,104.32749938964844,12500.0,119.81500244140624,2808.0,90.30833333333334,3,25,126,3.2039473684210527,730.5,104.82325294578425,12579.0,"3
",403.69736842105266,383.8809617695055,0.032295789473684215,50,104.32750277756695
109,LBagExecutorMAXChunk,elecNormNew,4,500,65,64.89730072021484,7788.0,120.00499725341795,4364.0,78.62239297475301,2,25,126,3.1113537117903927,712.4999999999999,64.89508627718521,7800.0,"2
",392.03056768558946,373.37799363781784,0.05033777191648555,10,64.89729743132163
25,AdaptiveRandomForestSequential,elecNormNew,1,1,284,237.4420928955078,28494.0,120.00399780273438,8142.0,89.00821225521163,1,25,125,3.7286343612334805,846.4000000000001,279.402945292197,33544.0,"1
",466.07929515418505,447.4510296926625,0.01635710307974258,90,237.44208961137414
163,AdaptiveRandomForestSequential,elecNormNew,1,1,157,154.83714294433594,18569.0,119.9260025024414,1954.0,89.6009478162529,1,25,124,3.5004444444444447,787.6,154.71588068655225,18569.0,"1
",434.05511111111116,419.7943092041016,0.023375255054720833,50,154.83714634465514
200,AdaptiveRandomForestSequential,elecNormNew,1,1,31,30.00149917602539,3600.0,119.99400329589844,100.0,88.75,1,25,124,3.129333333333333,704.0999999999999,29.959305276998744,3600.0,"1
",388.03733333333327,375.5012343139648,0.10778814814814813,10,30.00149925094676
118,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,671,641.3469848632812,43500.0,67.82599639892578,708.0,88.79767441860466,3,25,73,4.727611940298508,633.5000000000001,666.2255745225177,45312.0,"3
",345.1156716417911,320.6549904382051,0.007933693600960716,90,641.3470101367939
186,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,413,407.6783447265625,45141.0,110.72699737548828,1020.0,78.08068815662732,2,25,115,4.150480769230769,863.3,408.65800865800867,45312.0,"2
",477.3052884615384,459.57027324162993,0.010573653407357799,50,407.6783536983447
22,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,373,366.6972351074219,44000.0,119.98999786376952,1077.0,88.64827586206897,3,25,124,3.9715555555555553,893.5999999999999,369.1187981946272,44326.0,"3
",492.47288888888886,476.546942626953,0.011192565656565656,10,366.6972312971898
14,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,229,224.87423706054688,26955.0,119.86699676513672,1628.0,79.42165942165941,2,25,125,3.758149779735683,853.1,224.5277046613134,26955.0,"2
",469.7687224669604,450.4781274904764,0.017427888052938618,90,224.8742416798404
128,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,74,66.66388702392578,8000.0,120.00499725341795,4332.0,88.58666666666667,3,25,124,3.2373333333333325,728.3999999999999,69.88469026106924,8400.0,"3
",401.4293333333332,388.49617777506495,0.05017866666666665,50,66.6638905303766
104,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,45,45.00487518310547,5400.0,119.98699951171876,6500.0,77.85714285714286,2,25,125,3.1696035242290748,719.5,44.93334886584899,5400.0,"2
",396.2004405286343,380.31121651401605,0.07337045194974709,10,45.004875711327365
121,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,207,196.0669708251953,23500.0,119.85700225830078,2354.0,86.40869565217392,3,25,124,5.026666666666666,1131.0,204.5850236998409,24559.0,"3
",623.3066666666666,602.4811980183919,0.02652368794326241,90,196.06697612339534
32,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,115,112.664306640625,13500.0,119.8249969482422,3710.0,81.56923076923077,3,25,124,4.254666666666666,957.3,114.79685364796853,13777.0,"3
",527.5786666666665,509.8154203491211,0.03907990123456789,50,112.66430497662567
112,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,107,102.2553482055664,12500.0,122.24299621582033,4331.0,58.55,2,25,127,4.392173913043478,1010.1999999999999,104.8180121325245,12579.0,"2
",557.8060869565217,536.9124990313986,0.044624486956521735,10,102.25534702970809
15,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,59,53.9979248046875,6500.0,120.375,6699.0,60.28333333333333,2,25,124,3.5453333333333332,797.6999999999999,54.91762356465302,6600.0,"2
",439.6213333333333,426.7695,0.06763405128205129,90,53.99792315680166
214,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,23,16.67264175415039,2000.0,119.95700073242188,14882.0,78.53333333333333,3,25,125,3.1894273127753303,724.0,19.975862499479796,2400.0,"3
",398.6784140969163,382.59413449459663,0.19933920704845814,50,16.67264092790411
94,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,11,10.004335403442385,1200.0,119.947998046875,27489.0,53.71428571428572,2,25,124,3.1262222222222222,703.4,9.988762642027718,1200.0,"2
",387.65155555555555,374.98409700520835,0.323042962962963,10,10.004335374826738
8,StreamingRandomPatches,covtypeNorm,1,1,59,54.87088394165039,6585.0,120.00900268554688,3474.0,82.64236902050114,1,25,124,3.6551111111111116,822.4000000000001,54.91808052987626,6600.0,"1
",453.23377777777785,438.64623914930564,0.06882821226693665,90,54.870883455754736
9,StreamingRandomPatches,covtypeNorm,1,1,32,29.94795036315918,3596.0,120.0749969482422,1086.0,81.39599555061179,1,25,125,3.4387665198237882,780.5999999999999,29.961299987516124,3600.0,"1
",429.84581497797353,412.90987937355885,0.11953443130644426,50,29.947949959557693
159,StreamingRandomPatches,covtypeNorm,1,1,6,5.001500606536865,600.0,119.96399688720705,155.0,77.0,1,25,125,2.990748898678414,678.9,4.994713927759788,600.0,"1
",373.8436123348017,358.78219157147515,0.6230726872246696,10,5.001500579912605
151,OzaBagExecutorMAXChunk,covtypeNorm,4,500,3459,3387.4716796875,406500.0,120.0009994506836,135.0,76.36724137931034,3,25,125,4.6682819383259915,1059.7,3443.960926579245,413909.0,"3
",583.5352422907489,560.1984983166934,0.0014355110511457536,90,3387.4717865750604
213,OzaBagExecutorMAXChunk,covtypeNorm,4,500,1921,1894.7911376953125,227500.0,120.06600189208984,205.0,77.39911894273128,3,25,126,4.089912280701754,932.5,1914.2795319495997,230016.0,"3
",515.328947368421,491.0594156332183,0.0022651821862348176,50,1894.7911683148009
33,OzaBagExecutorMAXChunk,covtypeNorm,4,500,384,378.9961242675781,45500.0,120.0540008544922,845.0,74.69777777777777,3,25,125,3.2881057268722467,746.4,379.0160767956307,45524.0,"3
",411.0132158590308,394.7502477435814,0.00903325749140727,10,378.996115715851
