dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,669,2,45312.0,68.21800231933594,510.0,664.2235107421875,77.1645987681871
GMSC,OzaBag,25,1,1,223,1,26356.0,119.87699890136719,77.0,219.8586883544922,93.47397177113372
covtypeNorm,StreamingRandomPatches,25,1,1,6,1,600.0,119.96399688720703,155.0,5.001500606536865,77.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,84,3,9500.0,120.00499725341797,3702.0,79.16336822509766,93.55555555555556
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,30,2,3600.0,119.96600341796875,9431.0,30.008501052856445,94.3225806451613
elecNormNew,LBagExecutorMAXChunk,25,4,500,531,3,44500.0,85.65399932861328,740.0,519.5321044921875,88.30681818181819
elecNormNew,AdaptiveRandomForestSequential,25,1,1,157,1,18569.0,119.9260025024414,1954.0,154.83714294433594,89.6009478162529
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,477,3,45000.0,95.46299743652344,612.0,471.3868408203125,78.08988764044943
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,2387,3,44500.0,18.926000595092773,168.0,2351.2626953125,77.25227272727273
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,245,3,11500.0,120.06800079345703,5177.0,95.77906036376953,65.17272727272727
elecNormNew,OzaBagAdwin,25,1,1,1093,1,39076.0,51.191001892089844,4722.0,763.3372802734375,84.16163373937967
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,267,2,30000.0,122.03700256347656,1905.0,245.82708740234375,64.52881355932203
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1680,2,150000.0,89.54399871826172,215.0,1675.1541748046875,93.40869565217392
airlines,AdaptiveRandomForestSequential,25,1,1,60,1,3535.0,120.00599670410156,20266.0,29.45686149597168,70.0990099009901
airlines,LBagExecutorMAXChunk,25,4,500,88,2,7500.0,132.41900634765625,8464.0,56.63839340209961,61.728571428571435
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,62,2,7200.0,119.9990005493164,4669.0,60.0004997253418,93.6268656716418
airlines,LBagExecutorMAXChunk,25,4,500,25,3,3000.0,125.56500244140625,13693.0,23.89200782775879,69.08
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,40,2,4800.0,119.9749984741211,7245.0,40.00833511352539,55.97674418604651
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,39,3,4000.0,119.9800033569336,8385.0,33.338890075683594,92.57142857142857
GMSC,StreamingRandomPatches,25,1,1,29,1,3000.0,119.98400115966797,172.0,25.003334045410156,94.19999999999999
GMSC,OzaBagAdwin,25,1,1,856,1,102272.0,120.00499725341797,593.0,852.231201171875,93.41755319148936
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,27,2,3000.0,120.40499877929688,11765.0,24.915908813476562,69.72
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,27,3,3000.0,126.10399627685547,15207.0,23.789888381958008,72.64
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,4385,3,74000.0,120.01599884033203,809.0,616.58447265625,63.51292517006802
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,38,2,4200.0,119.96800231933594,8382.0,35.009334564208984,56.08108108108109
GMSC,OzaBagExecutorMAXChunk,25,4,500,7613,3,131500.0,19.733999252319336,68.0,6663.62646484375,93.19236641221374
GMSC,LeveragingBag,25,1,1,640,1,71104.0,120.00299835205078,4963.0,592.5185546875,93.40543429342935
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,85,2,10000.0,121.02300262451172,5787.0,82.62892150878906,64.91578947368421
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,383,2,45500.0,120.4990005493164,1215.0,377.59649658203125,73.37555555555556
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,413,2,45141.0,110.72699737548828,1020.0,407.6783447265625,78.08068815662732
covtypeNorm,LeveragingBag,25,1,1,75,1,8986.0,120.00900268554688,497.0,74.87771606445312,73.0135766748275
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,198,3,23000.0,119.84100341796875,2075.0,191.92095947265625,90.42666666666666
GMSC,OzaBag,25,1,1,1115,1,24055.0,120.00499725341797,34767.0,200.44998168945312,93.5481188942008
airlines,LeveragingBag,25,1,1,23,1,2393.0,120.0979995727539,1040.0,19.92539405822754,71.87630589218554
GMSC,StreamingRandomPatches,25,1,1,264,1,27835.0,120.00499725341797,7794.0,231.94866943359375,93.54769175498473
covtypeNorm,LBagExecutorMAXChunk,25,4,500,254,2,29950.0,119.88200378417969,1699.0,249.82899475097656,73.5144312393888
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,154,2,17971.0,120.00900268554688,2277.0,149.74710083007812,93.61799553545876
airlines,OzaBagExecutorMAXChunk,25,4,500,619,3,73500.0,120.0009994506836,633.0,612.494873046875,61.558904109589044
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,7882,3,134000.0,19.07900047302246,66.0,7023.4287109375,93.387265917603
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,421,3,50000.0,119.9000015258789,991.0,417.01416015625,93.38181818181818
elecNormNew,LBagExecutorMAXChunk,25,4,500,588,2,44725.0,77.64199829101562,702.0,576.0413208007812,78.08479366873941
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,171,2,20400.0,119.9990005493164,1650.0,170.0014190673828,93.61306532663318
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,136,2,16000.0,121.43399810791016,3051.0,131.75881958007812,62.81935483870967
elecNormNew,AdaptiveRandomForestSequential,25,1,1,31,1,3600.0,119.99400329589844,100.0,30.00149917602539,88.75
elecNormNew,OzaBagASHT,25,1,1,1423,1,36279.0,40.18600082397461,3689.0,902.7770385742188,82.90746712974449
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,136,3,9500.0,123.22799682617188,6389.0,77.0928726196289,64.86666666666666
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,231,2,27500.0,120.44100189208984,1843.0,228.3275604248047,79.63333333333334
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,381,2,45367.0,119.90599822998047,1162.0,378.3547058105469,76.35233022042927
GMSC,OzaBagExecutorMAXChunk,25,4,500,4229,3,150000.0,35.58599853515625,98.0,4215.14111328125,93.41939799331104
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,1100,2,45312.0,41.178001403808594,343.0,1100.3934326171875,77.10434704989734
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1018,2,45312.0,44.78799819946289,383.0,1011.6995849609375,77.84298848522717
covtypeNorm,OzaBag,25,1,1,140,1,16772.0,119.91600036621094,336.0,139.8645782470703,66.0982590031004
