,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
128,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,102,99.9307632446289,11980.0,119.88300323486328,446.0,89.31552587646077,25,126,3.4803493449781664,797.0000000000001,99.83083756239428,11980.0,438.52401746724894,417.23473178247184,0.0002905133009163745,0.03660467591546318,600,50,99.93076313353556
136,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,20,20.00416755676269,2400.0,119.9749984741211,35.0,86.95833333333334,25,126,3.2733624454148478,749.6000000000001,19.975696236245902,2400.0,412.4436681222708,392.72165439389164,0.0013639010189228533,0.1718515283842795,600,10,20.004167789322256
5,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,46,44.85646438598633,5383.0,120.00499725341795,1133.0,82.37042541333828,25,125,3.603964757709251,818.0999999999999,44.93970589459142,5400.0,450.4955947136564,432.4937808503137,0.0006695085932954209,0.08368857416192763,600,90,44.85646534062716
9,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,25,24.99020767211914,2999.0,120.00700378417967,417.0,79.99333111037012,25,125,3.4863013698630136,763.5,24.970243792813562,3000.0,435.78767123287673,418.3805816859415,0.0011624879526052063,0.1453109940756508,600,50,24.990208116464558
102,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,5,5.002793312072754,600.0,119.93299865722656,152.0,77.16666666666666,25,125,3.2203539823008853,727.8000000000001,4.994963411893008,600.0,402.5442477876107,386.2267098350863,0.005367256637168142,0.6709070796460178,600,10,5.002793282229394
125,StreamingRandomPatches,covtypeNorm,1,1,46,41.63125991821289,4997.0,120.02999877929688,4927.0,82.9097458475085,25,125,3.5515418502202634,806.1999999999998,44.93858393528844,5400.0,443.9427312775329,426.29156394655996,0.000710734810930611,0.08884185136632639,600,90,41.6312592753429
109,StreamingRandomPatches,covtypeNorm,1,1,25,24.9743766784668,2997.0,120.00299835205078,360.0,79.9466132799466,25,125,3.3656387665198237,764.0,24.96920464760129,3000.0,420.70484581497794,403.88674335227665,0.0011230025914313725,0.14037532392892157,600,50,24.97437598357127
135,StreamingRandomPatches,covtypeNorm,1,1,5,5.0010833740234375,600.0,119.9739990234375,106.0,77.0,25,125,3.2149779735682826,729.8000000000002,4.995004995004995,600.0,401.87224669603535,385.7137642612542,0.0053582966226138045,0.6697870778267255,600,10,5.001083608814166
59,OzaBagExecutorRUNPER,covtypeNorm,4,1,135,131.05723571777344,15727.0,120.0009994506836,1005.0,66.27455967444521,25,127,3.599130434782609,827.8000000000001,134.75366400319948,16173.0,457.08956521739134,431.8992493272865,0.00022885041233436823,0.029064002366464763,600,90,131.0572417895842
78,OzaBagExecutorRUNPER,covtypeNorm,4,1,75,74.8752212524414,8986.0,120.01300048828124,225.0,62.75317160026708,25,127,3.4595652173913045,795.7,74.88081470326397,9000.0,439.3647826086957,415.1928021240234,0.00038499501640232634,0.04889436708309545,600,50,74.8752215463311
16,OzaBagExecutorRUNPER,covtypeNorm,4,1,15,15.004752159118652,1800.0,119.96199798583984,52.0,67.38888888888889,25,128,3.2090517241379315,744.5000000000001,14.983268683303644,1800.0,410.75862068965523,384.96425646749043,0.001782806513409962,0.22819923371647513,600,10,15.004751756572691
44,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,150,108.8556137084961,13063.0,120.00299835205078,9497.0,74.3244277730996,25,128,3.669527896995709,855.0000000000001,149.72629333688832,17970.0,469.6995708154507,440.3543501759804,0.00028091004340470864,0.035956485555802706,600,90,108.85561343790175
