dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,30,2,3600.0,120.2040023803711,983.0,29.949085235595703,62.732394366197184
GMSC,OzaBagExecutorMAXChunk,25,4,50,1843,2,150000.0,81.6760025024414,21.0,1836.5247802734375,93.47515838612871
covtypeNorm,LeveragingBag,25,1,1,136,1,12909.0,120.00499725341797,9235.0,107.57051849365234,74.31249515841661
elecNormNew,AdaptiveRandomForestSequential,25,1,1,158,1,18569.0,119.91500091552734,1990.0,154.85134887695312,89.6009478162529
airlines,LBagExecutorMAXChunk,25,4,50,13,2,1200.0,120.1449966430664,2821.0,9.987931251525879,74.60869565217392
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,319,2,37737.0,119.93399810791016,118.0,314.6480712890625,93.55215326239818
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,614,3,42000.0,120.22699737548828,143.0,349.33917236328125,86.53635280095352
GMSC,OzaBagExecutorMAXChunk,25,4,50,3495,3,150000.0,42.98899841308594,11.0,3489.264892578125,93.38712904301434
GMSC,LeveragingBag,25,1,1,641,1,6602.0,120.01599884033203,18684.0,55.00933074951172,93.5625568009694
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1940,2,43653.0,23.391000747680664,25.0,1866.2305908203125,79.26518817512557
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,39,2,4200.0,120.08899688720703,867.0,34.97406005859375,82.0
GMSC,LBagExecutorMAXChunk,25,4,50,163,2,19168.0,119.86100006103516,188.0,159.9185791015625,93.59242598598179
airlines,OzaBagASHT,25,1,1,91,1,10606.0,120.00199890136719,1813.0,88.3818588256836,64.0863662078069
covtypeNorm,LeveragingBag,25,1,1,15,1,1800.0,119.96099853515625,90.0,15.004877090454102,68.83333333333333
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,72,2,8400.0,120.25700378417969,674.0,69.85040283203125,65.84431137724552
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1529,3,150000.0,98.6969985961914,32.0,1519.8031005859375,93.53117705901968
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,272,2,32346.0,119.94000244140625,159.0,269.6848449707031,71.93770126331435
elecNormNew,AdaptiveRandomForestSequential,25,1,1,284,1,28168.0,120.00199890136719,8453.0,234.7294158935547,89.13305879011645
GMSC,OzaBagExecutorMAXChunk,25,4,50,699,3,83250.0,119.98200225830078,41.0,693.8540649414062,93.390625
GMSC,OzaBag,25,1,1,225,1,26955.0,119.90799713134766,76.0,224.79734802246094,93.47059914672603
airlines,LBagExecutorMAXChunk,25,4,50,118,2,9650.0,122.06700134277344,631.0,79.05494689941406,61.66666666666667
covtypeNorm,LBagExecutorMAXChunk,25,4,50,26,2,3000.0,120.18199920654297,1115.0,24.962141036987305,66.03389830508475
GMSC,LBagExecutorMAXChunk,25,4,50,1018,3,121350.0,119.927001953125,38.0,1011.8655395507812,93.38417147568013
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,130,2,10050.0,121.52899932861328,603.0,82.6963119506836,65.71000000000001
elecNormNew,StreamingRandomPatches,25,1,1,82,1,9584.0,120.01599884033203,1235.0,79.85601806640625,91.35016694490818
covtypeNorm,LBagExecutorMAXChunk,25,4,50,66,3,7800.0,120.13999938964844,507.0,64.92425537109375,73.71612903225807
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,379,3,44900.0,119.88800048828125,77.0,374.5162048339844,62.99888517279821
airlines,LBagExecutorMAXChunk,25,4,50,66,2,7800.0,120.4219970703125,692.0,64.772216796875,62.851612903225806
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,14,2,1200.0,120.44100189208984,3020.0,9.963384628295898,77.04347826086956
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,416,3,45300.0,109.3280029296875,67.0,414.3494567871094,76.06629834254144
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1052,2,125580.0,119.95700073242188,42.0,1046.8751220703125,93.5529355532542
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1766,2,150000.0,85.10600280761719,21.0,1762.5078125,93.34844948316106
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,3179,2,150000.0,47.387001037597656,14.0,3165.425048828125,93.33577859286429
covtypeNorm,OzaBagASHT,25,1,1,24,1,2400.0,120.00199890136719,80.0,19.999666213989258,68.29166666666666
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,159,2,18569.0,119.93299865722656,257.0,154.82810974121094,70.49516712565473
covtypeNorm,LBagExecutorMAXChunk,25,4,50,333,3,39500.0,119.96299743652344,120.0,329.2681884765625,85.38403041825096
airlines,OzaBagExecutorMAXChunk,25,4,50,502,3,59900.0,119.96099853515625,42.0,499.3289489746094,61.48705096073517
airlines,StreamingRandomPatches,25,1,1,62,1,2729.0,120.04399871826172,24281.0,22.73333168029785,73.28691828508612
covtypeNorm,OzaBagAdwin,25,1,1,243,1,19872.0,120.0009994506836,12542.0,165.59861755371094,74.92451690821255
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2081,3,45300.0,21.715999603271484,19.0,2086.01953125,77.86519337016574
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,353,2,41930.0,119.89299774169922,74.0,349.728515625,93.37392550143267
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,244,3,28750.0,119.9219970703125,163.0,239.73916625976562,90.16027874564459
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,398,2,44750.0,120.10600280761719,134.0,372.5875244140625,68.68903803131991
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,101,3,11950.0,119.82099914550781,301.0,99.73210144042969,75.46218487394958
airlines,AdaptiveRandomForestSequential,25,1,1,6,1,598.0,120.05599975585938,72.0,4.981009006500244,72.40802675585284
elecNormNew,OzaBag,25,1,1,775,1,43421.0,58.61800003051758,796.0,740.7451782226562,82.50385758043343
