,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
93,93,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,309,304.5754089355469,36539.0,119.96700286865234,137.0,126,4.677292576419213,1071.1,304.250801448853,36539.0,561.12077193281,0.015356763237439723,0
89,89,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,61,59.90913772583008,7200.0,120.18199920654295,562.0,125,4.213716814159291,952.2999999999998,59.90714392691328,7200.0,506.4129108158886,0.07033512650220675,0
134,134,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,710,646.1339721679688,78000.0,120.71800231933594,3047.0,126,4.943231441048035,1132.0,707.8198204195758,85058.0,596.7370245654511,0.007650474673916039,0
185,185,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,394,378.706787109375,46000.0,121.46600341796876,4826.0,127,4.684347826086956,1077.3999999999999,389.00313886784284,46722.0,568.9890090544327,0.012369326283792016,0
217,217,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,78,75.0,9000.0,120.0,17569.0,129,4.115384615384614,962.9999999999998,74.88268379538722,9000.0,493.8461538461537,0.05487179487179485,0
216,216,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,703,694.9608764648438,83396.0,120.0009994506836,692.0,126,4.934061135371178,1129.8999999999999,697.7111811835964,83860.0,592.092267595316,0.00709976818546832,0
85,85,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,391,387.09033203125,46500.0,120.1269989013672,1171.0,126,4.593449781659389,1051.9,388.97075351532254,46722.0,551.7973368748828,0.01186660939515877,0
197,197,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,78,74.88146209716797,8986.0,120.00299835205078,4724.0,126,4.08859649122807,932.1999999999998,74.87956869368432,9000.0,490.64383799904266,0.05460091675929698,0
105,105,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,382,379.13189697265625,45500.0,120.01100158691406,118.0,125,4.670642201834862,1018.1999999999998,379.03501103201364,45524.0,560.5284486963113,0.012319306564754095,0
144,144,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,212,209.7513732910156,25158.0,119.94200134277344,191.0,126,4.360698689956331,998.5999999999999,209.57839404870003,25158.0,523.0309281261726,0.020789845302733628,0
57,57,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,42,39.95372009277344,4800.0,120.13899993896484,744.0,125,4.081415929203539,922.3999999999997,39.94574036933166,4800.0,490.33722806947407,0.10215358918114043,0
121,121,LBagExecutorMAXChunk,covtypeNorm,4,2000,362,332.8479309082031,40000.0,120.1750030517578,5513.0,126,4.974561403508771,1134.1999999999998,359.13065201099175,43128.0,597.817931847823,0.014945448296195577,0
71,71,LBagExecutorMAXChunk,covtypeNorm,4,2000,201,199.90989685058597,23960.0,119.85399627685548,8890.0,128,4.665948275862068,1082.4999999999998,199.5968077839423,23960.0,559.2325472831725,0.0233402565644062,0
91,91,LBagExecutorMAXChunk,covtypeNorm,4,2000,40,40.00800323486328,4800.0,119.97599792480467,29068.0,127,4.106086956521739,944.3999999999999,39.94507552115841,4800.0,492.63188017471964,0.10263164170306659,0
174,174,LBagExecutorMAXChunk,covtypeNorm,4,500,415,407.5250854492188,49000.0,120.23799896240234,1127.0,126,5.047807017543859,1150.8999999999999,413.8048707405989,49717.0,606.9382149378458,0.012386494182405016,0
31,31,LBagExecutorMAXChunk,covtypeNorm,4,500,230,228.840576171875,27500.0,120.1709976196289,1905.0,125,4.728070175438596,1077.9999999999998,229.51912104022458,27554.0,568.1769097980699,0.02066097853811163,0
1,1,LBagExecutorMAXChunk,covtypeNorm,4,500,46,45.01012802124024,5400.0,119.9729995727539,7125.0,127,4.118695652173912,947.2999999999998,44.93858393528844,5400.0,494.13227171856414,0.09150597624417854,0
109,109,LBagExecutorMAXChunk,covtypeNorm,4,50,349,344.1236572265625,41300.0,120.01499938964844,137.0,125,5.106607929515418,1159.1999999999998,344.126756810764,41331.0,612.8695475439667,0.014839456356996773,0
201,201,LBagExecutorMAXChunk,covtypeNorm,4,50,194,189.88429260253903,22762.0,119.8730010986328,218.0,126,4.788596491228071,1091.8000000000002,189.6327645961077,22762.0,574.0234324538917,0.025218497164304177,0
145,145,LBagExecutorMAXChunk,covtypeNorm,4,50,38,34.9539794921875,4200.0,120.15799713134766,888.0,126,4.06768558951965,931.4999999999999,34.95281370150297,4200.0,488.7649533967263,0.1163726079516015,0
23,23,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,515,458.20062255859375,54963.0,119.9540023803711,3896.0,125,5.106140350877192,1164.1999999999998,513.5596324165946,61697.0,612.5019718036316,0.011143896290297684,0
183,183,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,286,279.5293884277344,34000.0,121.63300323486328,6207.0,126,4.924090909090909,1083.3,284.3638604790619,34143.0,598.9319654742154,0.017615646043359277,0
142,142,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,57,55.00091552734375,6600.0,119.9980010986328,23648.0,125,4.299118942731277,975.8999999999999,54.9157957798043,6600.0,515.8856796130209,0.07816449691106377,0
84,84,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,554,521.5789794921875,62590.0,120.0009994506836,889.0,124,5.464444444444444,1229.5,548.3385068615131,65890.0,655.7387947760687,0.010476734219141536,0
167,167,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,307,295.5082702636719,35500.0,120.13200378417967,1315.0,123,4.699099099099098,1043.1999999999998,304.2888074616922,36539.0,564.5121907552082,0.015901751852259383,0
54,54,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,61,60.00350189208984,7200.0,119.99299621582033,5210.0,125,4.258295964125559,949.5999999999998,59.90863932502933,7200.0,510.9656915091612,0.07096745715405017,0
157,157,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,509,491.20904541015625,58950.0,120.01000213623048,90.0,124,5.257777777777778,1183.0,503.5037784213855,60499.0,630.9859223429363,0.010703747622441667,0
112,112,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,283,279.1410827636719,33500.0,120.01100158691406,137.0,124,4.8791111111111105,1097.8,279.3866553392802,33544.0,585.5470112982855,0.01747901526263539,0
49,49,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,56,54.94779968261719,6600.0,120.11399841308594,559.0,124,4.308888888888887,969.4999999999998,54.916252714610216,6600.0,517.5578731621634,0.07841785957002477,0
7,7,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,160,58.65532684326172,8000.0,136.38999938964844,32539.0,141,5.847843137254901,1491.1999999999998,159.7430798798599,19200.0,797.5873219209558,0.09969841524011948,0
