dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,155,9301.0,60.13800048828125,227.0,154.66094970703125
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,17,901.0,60.08700180053711,1906.0,14.99492359161377
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,251,15001.0,60.159000396728516,5124.0,249.35586547851562
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,7,301.0,60.07500076293945,39151.0,5.010403633117676
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,452,26950.0,60.012001037597656,72.0,449.07684326171875
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,30,1801.0,60.09600067138672,51118.0,29.96871566772461
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,415,45312.0,109.34300231933594,79.0,414.4023742675781
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,479,28500.0,60.150001525878906,777.0,473.8154602050781
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,416,24451.0,60.1619987487793,3525.0,406.4193420410156
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,86,5101.0,60.12699890136719,391.0,84.83709716796875
GMSC,OzaBagExecutorMAXChunk,25,4,2000,65,3901.0,60.11199951171875,18094.0,64.8955307006836
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,89,10200.0,120.06400299072266,404.0,84.9546890258789
GMSC,OzaBagExecutorMAXChunk,25,4,50,67,3901.0,60.11800003051758,422.0,64.88905334472656
covtypeNorm,LBagExecutorMAXChunk,25,4,50,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,31,1801.0,60.0989990234375,49691.0,29.967220306396484
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,9,301.0,60.07699966430664,39269.0,5.010236740112305
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,250,15001.0,60.159000396728516,5133.0,249.35586547851562
GMSC,LBagExecutorMAXChunk,25,4,50,114,6601.0,60.130001068115234,294.0,109.77880859375
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,386,22780.0,60.17399978637695,3830.0,378.5688171386719
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,82,4801.0,60.117000579833984,13925.0,79.8609390258789
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,10,600.0,60.124000549316406,2973.0,9.979375839233398
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,9,301.0,60.08300018310547,39521.0,5.00973653793335
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,278,16501.0,60.150001525878906,4847.0,274.3308410644531
GMSC,OzaBagExecutorMAXChunk,25,4,2000,593,35401.0,60.17300033569336,2420.0,588.3203125
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,54
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,419,24694.0,60.167999267578125,3472.0,410.4175109863281
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,42
GMSC,LBagExecutorMAXChunk,25,4,500,23,1201.0,60.0890007019043,13814.0,19.987018585205078
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,38,2100.0,60.19200134277344,939.0,34.88835525512695
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,452,26000.0,61.071998596191406,3393.0,425.7270202636719
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,212,25158.0,119.87200164794922,143.0,209.8738555908203
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,251,15001.0,60.16699981689453,50.0,249.32272338867188
