,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
233,LBagExecutorMAXChunk,GMSC,4,50,33,30.0,3600.0,120.0,856.0,126,,0.0,29.96030259905625,3600.0,,,0
234,LBagExecutorMAXChunk,GMSC,4,50,33,30.0,3600.0,120.0,856.0,126,,0.0,29.960551939945738,3600.0,,,0
141,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,2000,267,264.8828125,31747.0,119.85299682617188,5228.0,126,4.176855895196507,956.5,264.4657703137235,31747.0,500.60869635036426,0.01576869298990028,0
61,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,2000,148,144.75701904296875,17372.0,120.00800323486328,8615.0,125,4.414977973568282,1002.2,144.7599397665538,17400.0,529.8326909338325,0.030499233878300284,0
68,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,2000,29,25.007503509521484,3000.0,119.96399688720705,38865.0,125,4.109691629955947,932.9,24.968373393701313,3000.0,493.01503390341605,0.16433834463447203,0
108,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,267,264.89166259765625,31747.0,119.8489990234375,1274.0,125,,0.0,264.4657703137235,31747.0,,,0
109,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,267,264.89166259765625,31747.0,119.8489990234375,1274.0,125,,0.0,264.4635672217455,31747.0,,,0
204,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,148,144.7582244873047,17372.0,120.00700378417967,2121.0,124,,0.0,144.76355286365603,17400.0,,,0
205,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,148,144.7582244873047,17372.0,120.00700378417967,2121.0,124,,0.0,144.7587354409318,17400.0,,,0
74,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,29,24.93475341796875,3000.0,120.31400299072266,10899.0,125,,0.0,24.968165588874186,3000.0,,,0
75,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,500,29,24.93475341796875,3000.0,120.31400299072266,10899.0,125,,0.0,24.967542195146308,3000.0,,,0
33,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,50,267,264.7988586425781,31747.0,119.89099884033205,116.0,125,,0.0,264.4613641664723,31747.0,,,0
34,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,50,267,264.7988586425781,31747.0,119.89099884033205,116.0,125,,0.0,264.4833963710282,31747.0,,,0
35,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,50,267,264.7988586425781,31747.0,119.89099884033205,116.0,125,,0.0,264.4657703137235,31747.0,,,0
148,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,50,148,144.9503936767578,17371.0,119.84100341796876,205.0,123,,0.0,,,,,0
225,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,50,29,24.996875762939453,3000.0,120.01499938964844,977.0,124,,0.0,24.968165588874186,3000.0,,,0
